"Name","Disc. Date","Type","Phot."
"SN2003dh","2003/03/31","Ic BL","2687"
"SN1993J","1993/03/28","IIb","1815"
"SN2002ap","2002/01/29","Ic BL","1781"
"SN2011dh","2011/06/01","IIb","1122"
"SN2007gr","2007/08/15","Ic","766"
"SN2006jc","2006/10/09","Ibn","690"
"SN2008ax","2008/03/03","IIb","645"
"SN1999ex","1999/11/09","Ib","630"
"SN2015bn","2015/02/15","Ic","608"
"SN2005bf","2005/04/05","Ib","550"
"SN1998bw","1998/04/28","Ic BL","527"
"SN2006aj","2006/02/18","Ic BL","424"
"SN2005hg","2005/10/25","Ib","392"
"SN1994I","1994/04/02","Ic","372"
"SN2011ke","2011/04/06","SLSN-I","369"
"SN2008D","2008/01/11","Ib","342"
"SN2006fo","2006/09/16","Ib","320"
"SN2007uy","2007/12/31","Ib Pec","312"
"OGLE-2012-SN-006","2012/10/16","Ibn","311"
"SN2011bm","2011/04/04","Ic","309"
"SN2004gk","2004/11/25","Ic","274"
"SN2013ge","2013/11/08","Ic","265"
"SN2007C","2007/01/07","Ib","260"
"SN2004aw","2004/03/19","Ic","259"
"SN2011fu","2011/09/21","IIb","239"
"CSS121015:004244+132827","2012/10/15","SLSN-II","238"
"SN2009iz","2009/09/19","Ib","234"
"SN2009bb","2009/03/21","Ic BL","233"
"SN2010gx","2010/03/13","SLSN-I","229"
"SN2011hs","2011/11/12","IIb","228"
"SN2008bo","2008/03/31","IIb","227"
"PTF12gzk","2012/07/24","Ic","212"
"SN2005mf","2005/12/25","Ic","211"
"SDSS-II SN 15946","2006/08/27","Ib/c","210"
"SN2007md","2007/10/08","II","204"
"SDSS-II SN 16114","2006/08/28","Ib/c","203"
"SN2005kl","2005/11/22","Ic","202"
"SN2005mm","2005/11/20","Ia","196"
"SDSS-II SN 19045","2007/09/03","Ib/c","195"
"SDSS-II SN 14475","2006/08/28","Ic","185"
"SN2009jf","2009/09/27","Ib","185"
"SN2005im","2005/09/21","Ib/c","184"
"SN2007I","2007/01/14","Ic BL","183"
"SN2010md","2010/05/15","SLSN-I","180"
"SN2005gt","2005/09/25","Ia","178"
"SN2006ld","2006/10/19","Ib","173"
"SN2006oz","2006/10/20","SLSN","171"
"SN2010jr","2010/11/12","II","170"
"SDSS-II SN 14661","2006/08/28","Ib/c","169"
"SN2011kg","2011/12/21","SLSN-I","168"
"SN1954A","1954/04/10","Ib","166"
"SDSS-II SN 17897","2007/09/03","Ib/c","164"
"SN2005az","2005/03/28","Ic","159"
"SDSS-II SN 4808","2005/09/03","Ib/c","158"
"SN2006gi","2006/09/18","Ib","158"
"SN1962L","1962/11/23","Ic","154"
"SN2012hn","2012/04/04","Ic Pec","151"
"SN2007iq","2007/09/12","Ic/Ic-bl","146"
"SN2006lc","2006/10/21","Ib","145"
"SN2006el","2006/08/25","IIb","142"
"SN2007bi","2007/04/06","SLSN-R","135"
"SN2013df","2013/06/07","IIb","134"
"SN2011kf","2011/12/30","Ic","130"
"SDSS-II SN 16976","2006/08/28","Ib/c","129"
"SDSS-II SN 14591","2006/08/28","Ib/c","128"
"SDSS-II SN 13482","2006/08/28","Ib/c","126"
"SN2006nx","2006/11/01","Ic","126"
"SN1996cb","1996/12/15","IIb","125"
"SN2005nb","2005/12/17","Ic BL","122"
"SN2012il","2012/01/19","SLSN-I","121"
"SN2005em","2005/09/27","Ic","120"
"SDSS-II SN 14177","2006/08/28","Ib/c","115"
"SN2005kr","2005/11/03","Ic","115"
"SN1976B","1976/03/28","Ib","115"
"SN2004gt","2004/12/12","Ic","114"
"SDSS-II SN 14169","2006/08/28","Ib/c","114"
"SDSS-II SN 17107","2006/08/28","Ib/c","114"
"SDSS-II SN 14090","2006/08/28","Ib/c","112"
"SDSS-II SN 15943","2006/08/28","Ib/c","112"
"SDSS-II SN 11241","2005/09/03","Ib/c","111"
"SN2006fe","2006/08/27","Ic","110"
"SDSS-II SN 11305","2005/09/03","Ib/c","109"
"SDSS-II SN 13458","2006/08/28","Ib/c","109"
"SN2006jo","2006/09/30","Ib","109"
"SDSS-II SN 14532","2006/08/28","Ib/c","108"
"SDSS-II SN 19190","2007/09/03","Ib/c","108"
"SN2004ao","2004/03/07","Ib","107"
"SDSS-II SN 14695","2006/08/27","Ib/c","107"
"SDSS-II SN 15803","2006/08/28","Ib/c","107"
"SDSS-II SN 16768","2006/08/27","Ib/c","107"
"SDSS-II SN 13269","2006/08/27","Ib/c","106"
"SDSS-II SN 15343","2006/08/27","Ib/c","106"
"SDSS-II SN 15757","2006/08/27","Ib/c","106"
"SDSS-II SN 15994","2006/08/28","Ib/c","106"
"SDSS-II SN 16125","2006/08/28","Ib/c","106"
"SDSS-II SN 16282","2006/08/28","Ib/c","106"
"SDSS-II SN 16452","2006/08/28","Ib/c","106"
"SDSS-II SN 7923","2005/09/03","Ib/c","106"
"SN2006qk","2006/11/22","Ib","106"
"SN2004dn","2004/08/02","Ic","105"
"SDSS-II SN 4664","2005/09/09","Ib/c","105"
"SDSS-II SN 5247","2005/09/03","Ib/c","105"
"SDSS-II SN 18884","2007/09/03","Ib/c","104"
"SDSS-II SN 19065","2007/09/04","Ib/c","104"
"SDSS-II SN 21046","2007/09/03","Ib/c","104"
"SN2006T","2006/01/30","IIb","104"
"SDSS-II SN 11927","2005/09/03","Ib/c","103"
"SDSS-II SN 12035","2005/09/10","Ib/c","103"
"SDSS-II SN 20999","2007/09/04","Ib/c","103"
"SN2005mn","2005/11/23","Ib","103"
"SN2007me","2007/10/08","Ia","103"
"SDSS-II SN 2234","2005/09/03","Ib/c","102"
"SN1990I","1990/04/29","Ib","101"
"2MASS J00503990-0102312","2007/09/03","Ib/c","101"
"SDSS-II SN 13777","2006/08/28","Ib/c","101"
"SDSS-II SN 9317","2005/09/03","Ib/c","101"
"SN2015U","2015/02/13","Ibn","101"
"SDSS-II SN 13979","2006/09/11","Ib/c","100"
"SDSS-II SN 16085","2006/08/27","Ib/c","100"
"SDSS-II SN 8196","2005/09/03","Ib/c","100"
"SDSS-II SN 16169","2006/09/11","Ib/c","99"
"SDSS-II SN 18468","2007/09/04","Ib/c","99"
"SDSS-II SN 22282","2007/09/03","Ib/c","99"
"SDSS-II SN 6213","2005/09/03","Ib/c","99"
"SN2007jy","2007/09/03","Ia","99"
"SN2009er","2009/05/22","Ib Pec","99"
"SDSS-II SN 19793","2007/09/03","Ib/c","98"
"SDSS-II SN 20301","2007/09/03","Ib/c","98"
"SDSS-II SN 20886","2007/09/04","Ib/c","98"
"SN2007gl","2007/08/03","Ib","98"
"SDSS-II SN 17312","2007/09/03","Ib/c","97"
"SN2007nc","2007/10/08","Ib","97"
"SN2007rc","2007/10/21","Variable","97"
"SN1990B","1990/01/20","Ic","96"
"SDSS-II SN 15367","2006/08/27","Ib/c","96"
"SDSS-II SN 16708","2006/08/28","Ib/c","96"
"SDSS-II SN 6520","2005/09/09","Ib/c","96"
"SDSS-II SN 13330","2006/09/11","Ib/c","95"
"SDSS-II SN 14419","2006/09/11","Ib/c","95"
"SDSS-II SN 6367","2005/09/10","Ib/c","95"
"SN2005hm","2005/09/15","Ib","95"
"SN2005ks","2005/11/04","Ic","94"
"SN2012ap","2012/02/10","Ic BL","94"
"SDSS-II SN 10396","2005/09/09","Ib/c","93"
"SDSS-II SN 6861","2005/09/09","Ib/c","93"
"SN2007qv","2007/11/04","Ic","93"
"LSQ13ccw","2013/09/04","Ibn","93"
"SN1966J","1966/12/20","Ia","93"
"SDSS-II SN 19195","2007/09/03","Ib/c","92"
"SDSS-II SN 19599","2007/09/03","Ib/c","92"
"SDSS-II SN 8086","2005/09/09","Ib/c","92"
"SDSS-II SN 20682","2007/09/03","Ib/c","91"
"SN2007sj","2007/11/17","Ib/c","91"
"SN2006ep","2006/08/30","Ib","90"
"SN1983N","1983/07/03","Ib","90"
"SDSS-II SN 19209","2007/09/03","Ib/c","89"
"SDSS-II SN 19525","2007/09/05","Ib/c","89"
"SDSS-II SN 6660","2005/09/09","Ib/c","89"
"SDSS-II SN 6813","2005/09/09","Ib/c","89"
