"Name","Disc. Date","R.A.","Type","Phot.","Spec.","Radio","X-ray"
"SN2011fe","2011/08/24","14:03:05.711,14:03:05.76,14:03:05.81,14:03:05.80","Ia","2728","80","0","0"
"SN2000cx","2000/07/17","01:24:46.19,01:24:46.15","Ia Pec","1316","45","",""
"SN1999ee","1999/10/07","22:16:09.40,22:16:10.00","Ia","1169","26","",""
"SN1998bu","1998/05/09","10:46:46.01,10:46:46.03","Ia","1101","75","0",""
"SN2013dy","2013/07/10","22:18:17.60","Ia","1022","85","",""
"SN2007af","2007/03/01","14:22:21.03,14:22:21.12,14:22:21.06","Ia","976","53","",""
"SN2014J","2014/01/21","09:55:42.12,09:55:42.14","Ia","918","78","0",""
"SN2009dc","2009/04/09","15:51:12.12,15:51:12.083,15:51:12,15:51:12.24,15:51:12.10","Ia Pec","798","43","0",""
"SN2004eo","2004/09/17","20:32:54.19,20:32:54.24","Ia","776","25","",""
"SN2002bo","2002/03/09","10:18:06.51,10:18:06.52","Ia","750","65","0",""
"SN1991T","1991/04/13","12:34:10.20,12:34:10.08,12:34:10.17,12:34:10.21","Ia-91T","723","23","0",""
"SN2016dxj","2016/04/16","16:40:16.20,16:40:16.08","Ia","695","","",""
"SN2005ke","2005/11/13","03:35:04.35,03:35:04.344,03:35:4.34","Ia Pec","689","30","0",""
"SN2006X","2006/02/04","12:22:53.93,12:22:54,12:22:54.00,12:22:53.99,12:22:53.92","Ia","687","85","0",""
"SN2008hv","2008/12/02","09:07:34.06,09:07:34.066,09:07:34.08","Ia","633","15","",""
"ASASSN-14lp","2014/12/09","12:45:09.10,12:45:09.12","Ia","600","27","",""
"SN2012fr","2012/10/27","03:33:35.99,03:33:36.288","Ia","594","144","0",""
"SN1994D","1994/03/07","12:34:02.395,12:34:02.37,12:34:02.45","Ia","591","76","0",""
"LSQ12gdj","2012/11/07","23:54:43.32","Ia","587","38","",""
"SN1999aa","1999/02/11","08:27:42.03","Ia Pec","583","50","",""
"SN1999by","1999/04/30","09:21:52.07,09:21:52.18","Ia Pec","573","36","0",""
"SN2005el","2005/09/25","05:11:48.76,05:11:48.768,05:11:48.72","Ia","552","17","",""
"SN2001V","2001/02/19","11:57:24.93","Ia","524","82","",""
"SN2003cg","2003/03/21","10:14:15.97,10:14:16.00,10:14:16.008","Ia","516","43","0",""
"SN2013gh","2013/08/08","22:02:21.84,22:02:21.85","Ia","504","5","",""
"SN2007le","2007/10/13","23:38:48.45,23:38:48.452,23:38:48.48,23:38:48.41","Ia","501","58","",""
"SN1999ac","1999/02/26","16:07:15.01","Ia Pec","499","39","",""
"SN1998aq","1998/04/13","11:56:25.87,11:56:25.68,11:56:26.00,11:56:25.76","Ia","498","61","0",""
"SN2005hc","2005/10/12","01:56:47.976,01:56:47.9,01:56:47.952,01:56:47.928,01:56:47.95,01:56:47.94","Ia","498","8","",""
"SN1972E","1972/05/06","13:39:52.7,13:39:53.2,13:39:52.70","Ia","490","19","",""
"SN2017ckc","2017/03/25","14:28:36.17,14:28:36.170,14:28:36.24","Ia","489","1","",""
"Gaia16alq","2016/04/21","18:12:29.40,18:12:29.36,18:12:29.28,18:12:29.35","Ia","486","","",""
"SN2006D","2006/01/11","12:52:33.87,12:52:33.84,12:52:33.94","Ia","485","31","",""
"SN2005am","2005/02/22","09:16:12.47,09:16:12.96","Ia","483","32","",""
"SN2005M","2005/01/19","09:37:32.76,09:37:32.40,09:37:32.36","Ia","477","34","",""
"SN2005eq","2005/09/30","03:08:49.31,03:08:49.392,03:08:49.32","Ia","455","20","",""
"SN2007on","2007/11/05","03:38:50.90,03:38:50.9","Ia","453","32","0",""
"SN2007S","2007/01/29","10:00:31.26,10:00:31.2,10:00:31.20","Ia","436","34","",""
"SN2004dt","2004/08/11","02:02:12.342,02:02:12.768,02:02:12.77","Ia","431","69","",""
"iPTF13dge","2013/09/04","05:03:35.08,05:03:35.10","Ia","431","19","",""
"SN1937C","1937/08/16","13:05:53.2,13:05:52.4,13:05:53.20","Ia","425","2","",""
"PS15ahs","2015/05/02","17:59:29.77,17:59:29.76","Ia","424","","",""
"SN2007sr","2007/12/18","12:01:52.80,12:01:52.8","Ia","414","35","0",""
"SN1989B","1989/01/30","11:20:13.93,11:20:13.92,11:20:13.91,11:20:13.9","Ia","412","7","0",""
"SN1994ae","1994/11/14","10:47:01.94,10:47:01.92,10:47:01.95","Ia","410","21","",""
"SN2005cf","2005/05/28","15:21:33.12,15:21:33.36,15:21:32.21","Ia","401","122","",""
"SN2005hk","2005/10/30","00:27:50.89,00:27:50.9,00:27:50.849,00:27:50.8824,00:27:50.8584,00:27:50.87","Ia-02cx","401","44","0",""
"SN1995D","1995/02/10","09:40:54.753,09:40:54.79,09:40:54.75","Ia","399","18","",""
"SN2004ef","2004/09/04","22:42:10.533,22:42:10.08,22:42:10.02","Ia","394","29","",""
"SN2009ig","2009/08/20","02:38:11.62,02:38:11.613,02:38:11.616,02:38:11.61","Ia","388","18","",""
"SN1999dq","1999/09/02","02:33:59.68","Ia-91T","382","27","",""
"SN2003du","2003/04/22","14:34:35.80,14:34:35.76,14:34:35.808","Ia","382","80","0",""
"SN2017deu","2017/04/16","13:16:21.60,13:16:21.600,13:16:21.59,13:16:21.6","Ia","372","1","",""
"SN1999cl","1999/05/29","12:31:56.01","Ia","369","15","0",""
"ASASSN-15fa","2015/03/17","17:09:46.030,17:09:46.03,17:09:46.08,17:09:46","Ia","369","1","",""
"SN2002er","2002/08/23","17:11:29.88","Ia","357","30","",""
"SN2004gs","2004/12/12","08:38:23.851,08:38:23.28,08:38:23.18","Ia","357","13","",""
"SN2005ki","2005/11/18","10:40:28.355,10:40:28.32,10:40:28.22","Ia","357","9","",""
"SN2002fk","2002/09/17","03:22:05.71","Ia","343","29","",""
"SN2006ax","2006/03/20","11:24:03.46,11:24:03.36,11:24:3.36","Ia","343","15","",""
"SN2001el","2001/09/17","03:44:30.60,03:44:30.57","Ia","335","11","",""
"SN2005na","2005/12/31","07:01:36.62,07:01:36.72","Ia","329","20","",""
"SN1996X","1996/04/12","13:18:01.13","Ia","325","28","0",""
"SN1998de","1998/07/23","00:48:06.88","Ia Pec","319","10","",""
"SN2016fbo","2016/08/15","01:01:35.50,01:01:35.539,01:01:35.544,01:01:35.592,01:01:35.496","Ia","309","1","",""
"SN2016zc","2016/01/31","14:05:57.10,14:05:57.12","Ia-91T","302","1","",""
"SN1998es","1998/11/13","01:37:17.60,01:37:17.50","Ia Pec","301","33","",""
"SN2007jg","2007/09/14","03:29:50.81,03:29:50.815,03:29:50.808,03:29:50.83,03:29:50.82","Ia","300","11","",""
"SN2008C","2008/01/03","06:57:11.53,06:57:11.469,06:57:11.52","Ia","294","23","",""
"SN1998dh","1998/07/20","23:14:40.31","Ia","293","14","",""
"SN1990N","1990/06/23","12:42:56.68,12:42:56.70,12:42:56.74","Ia","291","18","",""
"SN2006le","2006/10/26","05:00:41.99,05:00:41.904","Ia","288","26","",""
"SN2008hs","2008/12/01","02:25:29.62,02:25:29.594,02:25:29.616","Ia","286","1","",""
"SN1980N","1980/12/07","03:22:59,03:23:00.3,03:23:00.16","Ia","286","7","0",""
"PS15bom","2015/07/30","23:26:37.05,23:26:36.96","Ia","285","1","",""
"SN1999gp","1999/12/23","02:31:39.15","Ia","283","10","",""
"SN1997br","1997/04/10","13:20:42.40","Ia Pec","280","26","",""
"SN2005ag","2005/02/10","14:56:43.24,14:56:43.68,14:56:43.65","Ia","277","5","",""
"SN2000cn","2000/06/02","17:57:40.42","Ia","275","12","",""
"SN1981B","1981/03/02","12:34:29.57,12:34:29.58,12:34:29.5","Ia","273","16","0",""
"SN2006hb","2006/09/27","05:02:01.28,05:02:1.27","Ia","271","23","",""
"SN2004ey","2004/10/14","21:49:07.81,21:49:07.92,21:49:7.92","Ia","269","7","",""
"SN2012hr","2012/12/16","06:21:38.46,06:21:38.472","Ia","269","14","",""
"SN2012cg","2012/05/17","12:27:12.83","Ia","266","17","0",""
"SN1995al","1995/11/01","09:50:55.97","Ia","265","15","0",""
"SN2002cr","2002/05/01","14:06:37.59","Ia","265","12","",""
"SN2006bt","2006/04/26","15:56:33.81,15:56:30.48,15:56:30.53","Ia Pec","260","14","",""
"SN2008Z","2008/02/07","09:43:15.25,09:43:15.258,09:43:15.36","Ia","259","18","",""
"SN1937D","1937/09/09","02:39:21.0,02:39:20.4,02:39:21.00","Ia","259","1","",""
"SN2007hj","2007/09/01","23:01:47.89,23:01:47.880","Ia","254","22","",""
"SN2000dk","2000/09/18","01:07:23.52","Ia","253","13","",""
"SN2010Y","2010/02/08","10:51:03.90,10:51:03.994,10:51:04.08,10:51:03.95","Ia","251","","",""
"SN2006mr","2006/11/05","03:22:42.84,03:22:43.03","Ia Pec","249","15","",""
"SN2005hj","2005/10/26","01:26:48.40,01:26:48.4,01:26:48.408,01:26:48.26,01:26:48.27","Ia","248","11","",""
"iPTF13ebh","2013/11/13","02:21:59.98,02:21:59.976","Ia","248","","",""
"SN2011by","2011/04/26","11:55:45.56,11:55:45.6","Ia","244","16","0",""
"SN2003fa","2003/06/01","17:44:07.72,17:44:07.728","Ia","242","23","",""
"SN2002dp","2002/06/18","23:28:30.12","Ia","240","12","",""
"SN2005al","2005/02/24","13:50:01.497,13:50:0.24,13:50:00.33","Ia","240","7","",""
"SN2007nq","2007/10/21","00:57:33.60,00:57:33.721,00:57:33.6,00:57:33.58,00:57:33.57","Ia","239","16","",""
"SN2008fp","2008/09/11","07:16:32.60,07:16:32.64,07:16:32.6","Ia","234","21","",""
"SN2001bf","2001/05/03","18:01:33.99","Ia","232","11","0",""
"SN2007if","2007/08/16","01:10:51.37,01:10:51.370,01:10:51.408,01:10:51.36","Ia Pec","232","34","",""
"SN1999gh","1999/12/03","09:44:19.75,09:44:20.2","Ia","231","19","0",""
"SN2007cq","2007/06/21","22:14:40.41,22:14:40.32,22:14:40.43","Ia","228","8","",""
"SN2002cx","2002/05/12","13:13:49.72","Ia-02cx","227","13","",""
"SN2007co","2007/06/04","18:23:03.60,18:23:03.6","Ia","227","25","",""
"SN2008A","2008/01/02","01:38:17.38,01:38:17.394,01:38:17.4","Ia-02cx","227","34","0",""
"SN2001eh","2001/09/09","01:38:12.10","Ia","226","24","",""
"SN2000fa","2000/11/30","07:15:29.88","Ia","225","17","",""
"SN2006ej","2006/08/23","00:38:59.77","Ia","225","8","",""
"SN2006lf","2006/10/26","04:38:29.49,04:38:29.496","Ia","225","24","",""
"SN2008bc","2008/03/13","09:38:31.23,09:38:31.20","Ia","223","11","",""
"SN2011B","2011/01/07","08:55:48.10,08:55:48,08:55:48.50","Ia","222","","0",""
"SN2001ep","2001/10/03","04:57:00.26","Ia","221","32","",""
"SN2007ca","2007/04/25","13:31:05.81,13:31:06,13:31:5.76","Ia","221","14","",""
"SN2009Y","2009/02/01","14:42:23.68,14:42:24.563,14:42:23.76,14:42:24.55,14:42:23.85","Ia","220","19","",""
"SN2017ckx","2017/03/28","07:48:11.01,07:48:11.010,07:48:11.04","Ia","216","1","",""
"SN1999dk","1999/08/12","01:31:26.92","Ia","215","5","",""
"SN2004S","2004/02/03","06:45:43.50","Ia","215","11","",""
"SN2015bw","2015/04/01","13:33:22.89,13:33:22.8","Ia","211","","",""
"SN2007ax","2007/03/21","08:22:43.26,08:22:43.20,08:22:43.23","Ia Pec","209","8","",""
"SN2005iq","2005/11/05","23:58:32.50,23:58:32.4,23:58:32.40","Ia","208","4","",""
"LSQ13ry","2013/03/30","10:32:48.00","Ia","208","","",""
"SN2006is","2006/09/18","05:17:34.37","Ia","207","19","",""
"SN2001ay","2001/04/18","14:26:17.00","Ia Pec","206","24","",""
"SN2009an","2009/02/27","12:22:47.40,12:22:47.385,12:22:47.28,12:22:47.4,12:22:47.47","Ia","206","","",""
"SN1999ek","1999/10/20","05:36:31.60","Ia","205","5","",""
"SN2006et","2006/09/03","00:42:45.82","Ia","205","12","",""
"SN1971I","1971/05/24","13:15:49.6,13:15:49.68,13:15:49.60","Ia","205","","",""
"SN1998dm","1998/08/22","01:26:13.97","Ia","199","15","",""
"SN2003W","2003/01/28","09:46:49.48,09:46:49.488","Ia","197","20","",""
"LSQ11ot","2011/12/23","05:15:48.30,05:15:48.34,05:15:48.29","Ia","197","","",""
"SN2005A","2005/01/05","02:30:43.25","Ia","196","13","",""
"SN2000E","2000/01/26","20:37:13.77","Ia","195","5","0",""
"SN2006kf","2006/10/21","03:41:50.48,03:41:50.47","Ia","195","12","",""
"SN2005ho","2005/09/26","00:59:24.096,00:59:24.1,00:59:24.10","Ia","190","","",""
"LSQ11bk","2011/12/06","04:20:44.270,04:20:44.25,04:20:44.27","Ia","188","","",""
"SN1999ej","1999/10/18","01:22:57.38","Ia","187","5","",""
"SN2002he","2002/10/28","08:19:58.83","Ia Pec","187","9","",""
"SN2006eq","2006/08/26","21:28:37.13,21:28:37.2,21:28:37.20","Ia","187","3","",""
"SN1995ac","1995/09/22","22:45:34.14","Ia Pec","186","6","",""
"SN2001en","2001/09/26","01:25:22.90","Ia","185","12","",""
"SN2008s1","2008/05/16","13:29:12.84,13:29:12.96,13:29:12.82","Ia","185","20","",""
"SN2007bc","2007/04/04","11:19:16.627,11:19:14.64,11:19:14.57","Ia","183","13","",""
"SN2002ha","2002/10/21","20:47:18.58,20:47:18.48","Ia","181","11","",""
"SN2003kf","2003/11/27","06:04:35.42","Ia","181","28","",""
"SN2002es","2002/08/23","03:23:47.23","Ia Pec","180","12","",""
"SN2002fb","2002/09/06","01:57:48.90","Ia-91bg","180","10","",""
"SN2007N","2007/01/21","12:49:01.25,12:49:1.20","Ia Pec","179","7","",""
"SN2011ao","2011/03/03","11:53:51.03,11:53:51.12,11:53:51.01,11:53:51.02","Ia","179","","",""
"SN1997bp","1997/04/06","12:46:53.75","Ia-HV","177","14","",""
"SN1998ef","1998/10/18","01:03:26.87","Ia","177","9","",""
"SN2006bh","2006/04/02","22:40:16.10,22:40:16.08","Ia","177","2","",""
"SN2006mq","2006/10/22","08:06:12.39,08:06:12.48","Ia","177","","",""
"SN2008ar","2008/02/27","12:24:37.92,12:24:37.922","Ia","177","35","",""
"SN2005gj","2005/09/26","03:01:11.96,03:01:12.0,03:01:11.952,03:01:11.928","Ia","176","16","0",""
"SN2011aa","2011/02/06","07:36:42.63,07:36:42.48","Ia Pec?","176","","",""
"SN1997cn","1997/05/14","14:09:57.76","Ia-91bg","174","15","",""
"SN2009kk","2009/10/15","03:49:44.27,03:49:44.320,03:49:44.256","Ia","174","","",""
"LSQ12hzj","2012/12/28","09:59:12.43","Ia","174","","",""
"SN2012ht","2012/12/18","10:53:22.75","Ia","174","26","0",""
"SN2013dr","2013/06/30","17:19:30.26,17:19:30","Ia","173","1","",""
"SN1999da","1999/07/05","17:35:22.96","Ia","172","6","",""
"SN2008ec","2008/07/14","23:03:16.56","Ia","171","7","",""
"SN2002cs","2002/05/05","18:46:59.96","Ia","170","14","",""
"SN2004gu","2004/12/13","12:46:24.72","Ia Pec","170","2","",""
"SN2002dj","2002/06/12","13:13:00.34","Ia","168","24","",""
"SN2008hm","2008/11/25","03:27:10.90,03:27:10.889,03:27:10.896","Ia","168","","",""
"SN2005eu","2005/10/04","02:27:43.30,02:27:43.224,02:27:43.26","Ia","167","11","",""
"LSQ13vy","2013/04/06","16:06:55.85,16:06:55.81","Ia","167","","",""
"SN2012dn","2012/07/08","20:23:36.26","Ia","166","68","",""
"SN2003hv","2003/09/09","03:04:09.32","Ia","165","25","0",""
"SN2006ef","2006/08/18","02:04:19.51","Ia","165","7","",""
"SN1991bg","1991/12/03","12:25:03.70,12:25:03.67,12:25:03.71,12:15:40.8","Ia Pec","164","31","0",""
"SN2006ac","2006/02/09","12:41:44.90,12:41:44.88,12:41:44.86","Ia","164","14","",""
"SN2013aa","2013/02/13","14:32:33.88","Ia","164","12","",""
"SN1999cp","1999/06/18","14:06:31.30,14:06:31.3","Ia","163","5","",""
"SN2005bo","2005/04/17","12:49:41.03,12:49:41.04","Ia","163","5","",""
"SN2007bj","2007/04/18","16:22:10.59,16:22:10.589","Ia","162","10","",""
"SN1999aw","1999/03/09","11:01:36.37","Ia","160","","",""
"SN2001bg","2001/05/08","08:35:18.86,08:35:18.96","Ia","160","8","",""
"SN1954B","1954/04/27","14:33:24.09,14:33:24.13,14:33:24.1","Ia","160","10","",""
"SN1998bp","1998/04/29","17:54:50.74,17:54:50.71","Ia","159","17","",""
"OGLE-2013-SN-039","2013/07/17","00:22:33.02,00:22:33.01","Ia","159","1","",""
"SN2013cv","2013/05/20","16:22:43.16","Ia-91T","159","1","",""
"SN1995bd","1995/12/19","04:45:21.24","Ia","158","9","",""
"SN2005ey","2005/09/03","02:17:05.616,02:17:05.5,02:17:05.496,02:17:05.448,02:17:05.50","Ia","157","","",""
"SN2005ff","2005/09/10","22:30:41.040,22:30:41.4,22:30:41.52,22:30:41.28,22:30:41.41","Ia","157","","",""
"SN2015bq","2015/02/16","12:35:06.37,12:35:06.26","Ia","157","2","",""
"SN1995E","1995/02/20","07:51:56.75","Ia","156","9","",""
"SN2003gt","2003/07/29","20:32:59.12","Ia","156","2","",""
"SN2005gb","2005/09/22","01:16:12.600,01:16:12.6,01:16:12.576,01:16:12.58","Ia","154","","",""
"SN2005ir","2005/10/28","01:16:43.752,01:16:43.8,01:16:43.776,01:16:43.87,01:16:43.76","Ia","154","","",""
"SN2007hx","2007/09/03","02:06:27.288,02:06:27.048,02:06:27.072,02:06:27.07,02:06:27.08","Ia","154","","",""
"SN2001cn","2001/06/11","18:46:17.84","Ia","153","","",""
"SN2001da","2001/07/09","23:53:32.78","Ia","153","9","",""
"SN2002eb","2002/07/22","22:19:05.24","Ia","153","3","",""
"SN2005de","2005/08/02","18:02:23.36","Ia","153","5","",""
"SN2006gj","2006/09/18","03:17:35.80,03:17:35.81","Ia","153","11","",""
"SN2006dm","2006/07/03","23:41:47.84","Ia","152","5","",""
"SN2006gr","2006/08/21","22:32:22.67,22:32:22.56","Ia","152","20","",""
"SN1997cw","1997/07/10","00:25:17.27","Ia","151","4","",""
"SN2001bt","2001/05/24","19:13:46.75","Ia","151","","",""
"SN2006ob","2006/11/18","01:51:48.505,01:51:48.144,01:51:48.12,01:51:48.11","Ia","151","6","",""
"SN2009ad","2009/02/13","05:03:33.38,05:03:33.393,05:03:33.384","Ia","151","9","",""
"SN1960F","1960/04/17","12:31:42.05,12:31:42.06","Ia","151","8","",""
"SN2000ce","2000/05/08","08:05:09.45","Ia","149","5","",""
"DES16E1ciy","2016/10/20","00:35:49.74","Ia","149","","",""
"SN1993L","1993/04/30","22:57:52.86,22:57:52.81,22:57:52.87","Ia","147","","",""
"SN2009al","2009/02/26","10:51:22.07,10:51:22.049,10:51:22.08,10:51:22.04","Ia","147","","",""
"SN1998ab","1998/04/01","12:48:47.24,12:48:47.28","Ia-91T","146","13","",""
"SN2005bl","2005/04/14","12:04:12.24,12:04:12.26","Ia Pec","146","23","",""
"SN1992bc","1992/10/04","03:05:16.05,03:05:17.28","Ia","145","","",""
"SN2002cd","2002/04/08","20:23:34.42","Ia","144","18","",""
"SN2004as","2004/03/11","11:25:39.18","Ia","143","19","",""
"SN2004bg","2004/04/07","11:21:01.53","Ia","143","7","",""
"SN2007as","2007/03/13","09:27:36.01,09:27:36.00","Ia","142","4","",""
"SN1997bq","1997/04/07","10:17:05.33","Ia","141","13","",""
"SN2002cv","2002/05/13","10:18:03.68","Ia","141","2","0",""
"SN2005hr","2005/10/03","03:18:33.816,03:18:33.8,03:18:33.792,03:18:33.83","Ia","141","","",""
"SN2001ba","2001/04/27","11:38:01.76","Ia","140","3","",""
"SN2002de","2002/06/01","16:16:30.38","Ia","139","13","",""
"SN2007qe","2007/11/13","23:54:12.98,23:54:12.96","Ia","139","13","",""
"SN2009D","2009/01/02","03:54:22.83,03:54:22.817,03:54:22.776","Ia","139","8","",""
"SN2011de","2011/05/22","15:43:53.25,15:43:53.28","Ia Pec?","139","","",""
"SN2001cp","2001/06/19","17:11:02.58,17:11:02.65","Ia","138","12","",""
"SN1984A","1984/01/04","12:26:55.73,12:26:55.71,12:26:55.75","Ia","138","","0",""
"SN2007ba","2007/03/29","15:16:41.814,15:16:42.72,15:16:42.63","Ia Pec","137","8","",""
"SN2007bm","2007/04/20","11:25:02.30,11:25:2.40","Ia","137","17","",""
"SN2008gp","2008/10/27","03:23:00.73,03:23:0.72","Ia","137","4","",""
"SN2013cs","2013/05/14","13:15:14.81,13:15:14.8,13:15:14.88","Ia","137","6","",""
"SN2004gc","2004/11/18","05:21:49.94,05:21:49.95","Ia","136","6","",""
"SN2008ia","2008/12/07","08:50:35.15,08:50:35.04","Ia","136","11","",""
"SN2010ai","2010/03/08","12:59:24.00,12:59:24.005,12:59:24,12:59:24.03","Ia","136","1","",""
"SN2016hvl","2016/11/04","06:44:02.16,06:44:02.160","Ia","136","1","",""
"SN2001cj","2001/05/30","13:21:44.85","Ia","135","2","",""
"SN2006lu","2006/10/30","09:15:17.63,09:15:17.52","Ia","135","4","",""
"SN2001C","2001/01/04","06:59:36.10","Ia","134","15","",""
"SN2007ai","2007/03/06","16:12:53.74,16:12:53.76","Ia","134","5","",""
"SN2000cf","2000/05/09","15:52:56.19","Ia","133","6","",""
"SN2005mc","2005/12/23","08:27:06.36,08:27:6.24","Ia","133","4","",""
"SN2007bd","2007/04/04","08:31:32.872,08:31:33.36,08:31:33.28","Ia","133","12","",""
"LSQ12fxd","2012/10/31","05:22:16.99,05:22:17.02","Ia","133","9","",""
"SN2006fz","2006/09/12","00:16:41.35,00:16:41.314,00:16:41.3496,00:16:41.3136","Ia","132","2","",""
"SN2006ot","2006/11/22","02:15:04.84,02:15:4.85","Ia Pec","132","6","",""
"SN2005kc","2005/11/09","22:34:07.34,22:34:7.44","Ia","131","12","",""
"SN1994M","1994/04/29","12:31:08.61","Ia","130","10","",""
"SN2004bv","2004/05/24","20:25:06.34,19:25:06.34","Ia","130","7","",""
"SN2008ae","2008/02/09","09:56:03.20,09:56:03.160,09:56:03.12","Ia-02cx","130","9","",""
"ASASSN-14bb","2014/05/19","12:14:11.30,12:14:11.28","Ia","130","1","",""
"SN1996bo","1996/10/18","01:48:22.86,01:48:22.80","Ia","129","5","",""
"SN1996C","1996/02/15","13:50:48.60","Ia","129","6","",""
"SN2005jz","2005/10/11","01:31:27.07,01:31:27.1,01:31:27.048,01:31:27.024","Ia","129","","",""
"SN2009kq","2009/11/05","08:36:15.09,08:36:15.148,08:36:15.12","Ia","129","","",""
"SN2011jq","2011/12/27","05:16:41.54,05:16:41.55","Ia","129","","",""
"SN2016efy","2016/07/12","02:58:29.30,02:58:29.286,02:58:29.28,02:58:29.304","Ia","129","","",""
"SN2005hu","2005/10/11","21:54:40.80,21:54:40.8,21:54:40.79","Ia","128","","",""
"SN1992G","1992/02/09","10:36:18.57,10:36:18.55,10:36:18.51","Ia","127","12","",""
"SN2005fn","2005/09/13","20:48:53.05,20:48:53.1,20:48:53.04","Ia","127","","",""
"SN2007fb","2007/07/03","23:56:52.37,23:56:52.383,23:56:52.32","Ia","127","18","",""
"LSQ12agq","2012/02/19","10:17:41.65,10:17:41.67","Ia","127","","",""
"SN1998V","1998/03/10","18:22:37.40","Ia","126","10","",""
"SN2005ia","2005/10/11","01:11:35.02,01:11:35.0,01:11:35.04,01:11:35.016,01:11:35.03","Ia","126","","",""
"SN1982B","1982/02/12","07:14:33.72,07:14:33.61,07:14:33.7","Ia","126","1","",""
"SN1997E","1997/01/14","06:47:38.10","Ia","125","9","",""
"SN2003gs","2003/07/29","02:27:38.36","Ia Pec","125","2","",""
"SN2008Q","2008/01/26","01:24:57.23,01:24:57.207","Ia","125","9","",""
"SN2007kk","2007/09/28","03:42:23.258,03:42:23.26","Ia","124","17","",""
"SN2008bf","2008/03/18","12:04:02.90","Ia","124","28","",""
"SN2009jr","2009/10/08","20:26:26.03,20:26:26.013,20:26:25.92","Ia","124","","",""
"SN1995ak","1995/10/27","02:45:48.83,02:45:48.830","Ia","123","7","",""
"SN2003he","2003/08/11","23:58:57.05,23:58:57.058","Ia","123","2","",""
"SDSS-II SN 7017","2005/10/20","02:05:27.68,02:05:27.7,02:05:27.672","Ia","122","","",""
"SN2005gs","2005/09/22","22:13:10.25,22:13:10.2,22:13:10.32","Ia","121","","",""
"SN1993ae","1993/11/07","01:29:48.91,01:29:48.88,01:29:48.92","Ia","120","3","",""
"SN2006E","2006/01/12","13:53:28.65,13:53:28.56,13:53:28.52","Ia","120","4","",""
"SN1967C","1967/02/28","10:48:25.1,10:48:24.96,10:48:25.2,10:48:25.02","Ia","120","","",""
"SN2005fm","2005/09/13","20:48:10.320,20:48:10.4,20:48:10.32,20:48:10.37","Ia","119","","",""
"iPTF14bdn","2014/05/27","13:30:44.88","Ia","119","14","",""
"LSQ12aor","2012/02/25","10:55:17.63,10:55:17.64","Ia","118","","",""
"SN2010kg","2010/11/29","04:40:08.40,04:40:08.4","Ia","118","1","",""
"Gaia15acx","2015/03/12","08:59:34.91,08:59:34.8","Ia","118","1","",""
"SN2000B","2000/01/11","07:05:40.73","Ia","117","12","",""
"SN2002cu","2002/05/11","18:10:50.40","Ia","117","5","",""
"LSQ12bld","2012/03/27","13:42:44.020,13:42:44.03,13:42:44.02","Ia","116","","",""
"SN2005W","2005/02/01","01:50:45.75,01:50:45.77","Ia","115","4","0",""
"SN2006N","2006/01/21","06:08:31.24,06:08:31.248","Ia","115","16","",""
"SN2006os","2006/11/21","02:55:01.01,02:55:1.10","Ia","115","4","",""
"SN2008fr","2008/09/14","01:11:49.14,01:11:49.224,01:11:49.176","Ia","115","3","",""
"SN1957B","1957/04/23","12:25:02,12:25:02.7,12:25:03.12","Ia","115","7","",""
"SN2007ux","2007/12/23","10:09:19.98,10:09:19.939","Ia","114","8","",""
"SN1999cc","1999/05/08","16:02:42.03","Ia","113","7","",""
"SN2005fv","2005/09/15","03:05:22.42,03:05:22.4,03:05:22.416,03:05:22.43","Ia","113","","",""
"SN2005hx","2005/10/11","00:13:00.13,00:13:00.1,00:13:00.1296,00:13:00.1152","Ia","113","","",""
"SN2006hx","2006/09/28","01:13:57.31,01:13:57.312,01:13:57.288","Ia","113","3","",""
"SN2010cr","2010/05/15","13:29:25.03,13:29:25.082,13:29:24.96,13:29:24.26,13:29:25.04,13:29:25.11","Ia","113","2","",""
"SN2005hy","2005/10/11","00:14:23.602,00:14:23.6,00:14:23.59,00:14:23.566,00:14:23.5896,00:14:23.5656","Ia","112","","",""
"SN1970J","1970/09/24","23:20:12,23:20:12.8,23:20:12.71","Ia","112","","",""
"SN1993Y","1993/09/18","03:31:24.41,03:31:24.40","Ia","111","1","",""
"SN1996ai","1996/06/16","13:10:58.13","Ia","111","12","",""
"SN1957A","1957/02/26","09:21:51.2,09:21:50.4,09:21:51.20","Ia","111","2","",""
"SN1999X","1999/01/23","08:54:32.23","Ia","110","8","",""
"SN2000bh","2000/04/05","12:21:15.14","Ia","110","1","",""
"SN2002ef","2002/07/30","23:51:29.54","Ia","110","3","",""
"SN2008ha","2008/11/07","23:34:52.69,23:34:52.8","Ia-02cx","110","10","0",""
"SN2001dl","2001/07/30","21:21:01.73","Ia","109","2","",""
"SN2005fw","2005/09/15","03:30:48.960,03:30:49.0,03:30:49.032,03:30:49.008,03:30:49.04","Ia","109","","",""
"SN2006gt","2006/09/18","00:56:17.30","Ia Pec","109","9","",""
"SN2006oa","2006/11/11","21:23:42.960,21:23:42.96,21:23:42.94","Ia","109","9","",""
"SN2007aj","2007/03/03","12:47:54.45,12:47:54.524","Ia","109","2","",""
"SN2008bq","2008/04/02","06:41:02.51,06:41:2.40","Ia","109","4","",""
