"Name","Disc. Date","Type","Phot."
"SN1989E","1989/02/07","Ib","1"
"PTF09awk","2009/01/01","Ib",""
"SN1991D","1991/02/06","Ib","18"
"SN2001ai","2001/03/28","Ib","7"
"PTF12bwq","2012/03/22","Ib","1"
"PTF11izq","2011/07/26","Ib","1"
"SN2012bk","2012/03/25","Ib","1"
"ASASSN-15mj","2015/07/12","Ib","1"
"SN2017ewx","2017/06/20","Ib","2"
"SN1988L","1988/04/30","Ib","1"
"MASTER OT J141023.42-431843.7","2015/12/15","Ib","1"
"CSS140222:141104+253050","2014/02/22","Ib","3"
"SN2006cb","2006/05/05","Ib","18"
"PS1-10jb","2010","Ib",""
"SN2009hu","2009/06/25","Ib","1"
"SN2009cf","2009/03/02","Ib","1"
"SN2002dg","2002/05/31","Ib","2"
"SN2011dc","2011/05/14","Ib","1"
"iPTF13bvn","2013/06/16","Ib","678"
"SN2011br","2011/04/09","Ib","1"
"SN2009ef","2009/03/23","Ib","1"
"SNF20080610-004","2008/06/10","Ib","1"
"LSQ14cnl","2014/06/18","Ib","1"
"SN2016bkj","2016/03/20","Ib","9"
"SN2012dp","2012/06/16","Ib","1"
"SN2004dk","2004/08/01","Ib","87"
"SN2011gd","2011/08/28","Ib","1"
"SN2017bgu","2017/02/22","Ib","2"
"PS15ays","2015/06/27","Ib","1"
"SN2017cxz","2017/04/09","Ib","16"
"PTF11kaa","2011/08/03","Ib","1"
"SN2004ao","2004/03/07","Ib","106"
"SN2011ft","2011/08/30","Ib","1"
"SN2012ek","2012/08/18","Ib","1"
"SN2016ajo","2016/02/20","Ib","2"
"SN2002cw","2002/05/16","Ib","2"
"SN2012dx","2012/07/26","Ib","1"
"SNF20080703-002","2008/07/03","Ib","1"
"ASASSN-15ta","2015/11/14","Ib","1"
"SN2005hl","2005/09/12","Ib","48"
"SN2013ek","2013/07/24","Ib","7"
"Gaia15acs","2015/02/22","Ib","9"
"PS15bhi","2015/07/14","Ib","13"
"SN2005br","2005/03/28","Ib","1"
"SN2007dy","2007/05/13","Ib","1"
"SN2009hm","2009/07/17","Ib","1"
"SN2005hm","2005/09/15","Ib","67"
"SN2008fd","2008/08/27","Ib","1"
"SN2009ny","2009/10/20","Ib","1"
"PTF13cab","2013/07/30","Ib","1"
"SN1999ex","1999/11/09","Ib","630"
"SN2006qk","2006/11/22","Ib","1"
"SN2002hz","2002/11/16","Ib","2"
"SN2007qw","2007/11/04","Ib","18"
"SN2014C","2014/01/05","Ib","42"
"SN2006ea","2006/07/25","Ib","1"
"SN2009iu","2009/09/01","Ib","1"
"PS15cer","2015/09/06","Ib","17"
"SN2004dm","2004/07/14","Ib","1"
"SN2006lc","2006/10/21","Ib","98"
"SN2010if","2010/09/26","Ib","1"
"SN2006dn","2006/07/05","Ib","47"
"LSQ13bbv","2013/07/15","Ib","1"
"SN2011fz","2011/09/18","Ib","1"
"SN2006dj","2006/06/05","Ib","1"
"SN2015ah","2015/08/06","Ib","1"
"SN2003gk","2003/07/01","Ib","1"
"SN2009jf","2009/09/27","Ib","185"
"SN1990U","1990/08/02","Ib","1"
"PTF11ilr","2011/07/22","Ib","1"
"SN2016dzl","2016/05/09","Ib","5"
"PTF09dfk","2009/01/01","Ib",""
"SN2010kc","2010/11/15","Ib","1"
"SN1997dc","1997/08/05","Ib","1"
"SN2013F","2013/01/05","Ib","1"
"SN2007fo","2007/07/09","Ib","1"
"SN1999dn","1999/08/19","Ib","12"
"SN2006ec","2006/08/04","Ib","1"
"SN2001fx","2001/11/08","Ib","1"
"PS1-13avb","2013/05/02","Ib","1"
"PSN J0503","2014/11/06","Ib",""
"SN2005E","2005/01/13","Ib (Ca rich)","28"
"SN2006tq","2006/12/17","Ib Pec","1"
"SN2013el","2013/07/11","Ib Pec","18"
"SN2007uy","2007/12/31","Ib Pec","428"
"SN2002hy","2002/11/12","Ib Pec","4"
"SN2009er","2009/05/22","Ib Pec","90"
"PTF11kmb","2011/08/24","Ib-Ca","90"
"LSQ14ggv","2014/12/02","Ib-IIb","1"
"SN2002dz","2002/07/16","Ib/c","2"
"SN1995bb","1995/11/29","Ib/c",""
"SN2010gr","2010/07/29","Ib/c","1"
"SN2016glo","2016/09/22","Ib/c","10"
"SN2005V","2005/01/30","Ib/c","1"
"SN1996cd","1996/12/16","Ib/c","1"
"PTF14va","2014/02/24","Ib/c","1"
"PTF12cde","2012/03/30","Ib/c","1"
"SN2005N","2005/01/19","Ib/c","1"
"SN2015bb","2015/11/16","Ib/c","1"
"SN2012J","2012/01/02","Ib/c","1"
"PTF12gvr","2012/07/20","Ib/c","1"
"SN1991L","1991/02/24","Ib/c","1"
"SN1990W","1990/08/19","Ib/c","1"
"LSQ13bwg","2013/08/20","Ib/c","1"
"SN2015ap","2015/09/08","Ib/c-BL","1"
"SN2009lw","2009/11/24","Ib/IIb","1"
"PS15bvb","2015/08/30","Ib/IIb","10"
"SN2010P","2010/01/18","Ib/IIb","9"
"SN2000er","2000/11/23","Ibn","10"
"SN2016Q","2016/01/07","Ibn","5"
"PS1-12sk","2012/03/11","Ibn","74"
"SN2014av","2014/04/19","Ibn","1"
"SN2006jc","2006/10/09","Ibn","690"
"ASASSN-15ed","2015/03/01","Ibn","9"
"PS15cvn","2015/11/07","Ic","19"
"LSQ14ftp","2014/10/02","Ic","1"
"SN2007qx","2007/11/05","Ic","6"
"SN2016flq","2016/09/26","Ic","6"
"SN2004fe","2004/10/30","Ic","46"
"SN2009em","2009/05/05","Ic","1"
"DES14E2ag","2014/08/17","Ic","1"
"SN2005ct","2005/07/01","Ic","1"
"SN2001ii","2001/12/11","Ic","2"
"SN2015ag","2015/08/06","Ic","1"
"SN1990aa","1990/09/04","Ic","1"
"SN2014dj","2014/09/24","Ic","1"
"SN2002hf","2002/10/29","Ic","4"
"SN1996at","1996/09/15","Ic","1"
"SN2011ip","2011/11/20","Ic","1"
"ESSENCEg004","2004/11/11","Ic",""
"OGLE15vk","2015/11/28","Ic","23"
"SN2008hh","2008/11/19","Ic","15"
"SN2016fhn","2016/08/21","Ic","5"
"SN2013hx","2013/12/31","Ic","37"
"SN2010S","2010/01/16","Ic","7"
"SN2002if","2002/10/29","Ic","1"
"SN2010lz","2010/12/03","Ic","1"
"SN2016fxu","2016/08/27","Ic","5"
"SN2006ei","2006/08/21","Ic","1"
"ASASSN-15kj","2015/05/31","Ic","1"
"LSQ11jw","2011/12/18","Ic","1"
"SN2007hb","2007/08/24","Ic","68"
"MLS121104:021643+204009","2012/11/04","Ic","0"
"SN2004eu","2004/10/06","Ic","1"
"SN1994ai","1994/12/20","Ic","1"
"CSS141005:022316-070520","2014/09/30","Ic","1"
"PS1-11app","2011","Ic",""
"PS1-12bqf","2012","Ic",""
"SN2007tx","2007/11/05","Ic","1"
"iPTF15dtg","2015","Ic",""
"SN2002gz","2002/10/15","Ic","2"
"PTF09iqd","2009","Ic",""
"SN2004dn","2004/08/02","Ic","105"
"SN2004ib","2004/10/08","Ic","1"
"SN2007gr","2007/08/15","Ic","766"
"SN1962L","1962/11/23","Ic","154"
"SN2006ab","2006/02/09","Ic","12"
"SN2016ghi","2016/09/13","Ic","22"
"OGLE16eun","2016/10/23","Ic","1"
"SN2005aj","2005/02/18","Ic","1"
"SN2005ek","2005/09/24","Ic","54"
"SN2008ao","2008/02/26","Ic","1"
"SN2005kr","2005/11/03","Ic","33"
