CMDLINE python fitcfalc_simple.py
MEM 0.289062 1443278195.6866
MEM 5.488281 1443278195.7947
MEM 10.062500 1443278195.9040
MEM 15.078125 1443278196.0142
MEM 18.468750 1443278196.1220
MEM 22.382812 1443278196.2294
MEM 26.898438 1443278196.3408
MEM 32.371094 1443278196.4516
MEM 41.480469 1443278196.5770
MEM 43.558594 1443278196.6873
MEM 49.542969 1443278196.7987
MEM 50.214844 1443278196.9121
MEM 50.871094 1443278197.0220
MEM 55.480469 1443278197.1311
MEM 58.515625 1443278197.2403
MEM 61.789062 1443278197.3494
MEM 69.234375 1443278197.4620
MEM 70.582031 1443278197.5717
MEM 71.429688 1443278197.6817
MEM 71.761719 1443278197.8016
MEM 71.773438 1443278197.9138
MEM 71.835938 1443278198.0250
MEM 71.835938 1443278198.1335
MEM 71.878906 1443278198.2464
MEM 71.957031 1443278198.3554
MEM 71.968750 1443278198.4657
MEM 72.015625 1443278198.5769
MEM 72.023438 1443278198.6913
MEM 72.023438 1443278198.8006
MEM 72.066406 1443278198.9150
MEM 72.132812 1443278199.0262
MEM 72.132812 1443278199.1352
MEM 72.148438 1443278199.2493
MEM 72.183594 1443278199.3625
MEM 72.183594 1443278199.4705
MEM 72.183594 1443278199.5817
MEM 72.183594 1443278199.6922
MEM 72.187500 1443278199.8018
MEM 72.191406 1443278199.9158
MEM 72.199219 1443278200.0284
MEM 72.210938 1443278200.1361
MEM 72.218750 1443278200.2506
MEM 72.234375 1443278200.3574
MEM 72.273438 1443278200.4674
MEM 72.316406 1443278200.5811
MEM 72.328125 1443278200.6918
MEM 72.351562 1443278200.8035
MEM 72.351562 1443278200.9199
MEM 72.351562 1443278201.0311
MEM 80.570312 1443278201.1398
MEM 123.957031 1443278201.2532
MEM 230.765625 1443278201.3669
MEM 400.167969 1443278201.4762
MEM 460.605469 1443278201.6066
MEM 460.605469 1443278201.7170
MEM 489.953125 1443278201.8263
MEM 505.027344 1443278201.9382
MEM 604.707031 1443278202.0457
MEM 635.257812 1443278202.1680
MEM 645.585938 1443278202.2962
MEM 660.589844 1443278202.4073
MEM 210.515625 1443278202.5180
MEM 280.933594 1443278202.6256
MEM 391.562500 1443278202.7371
MEM 529.406250 1443278202.8460
MEM 720.640625 1443278202.9587
MEM 634.890625 1443278203.0859
MEM 591.750000 1443278203.2010
MEM 691.859375 1443278203.3124
MEM 586.414062 1443278203.4244
MEM 638.863281 1443278203.5327
MEM 796.285156 1443278203.6396
MEM 842.796875 1443278203.7506
MEM 862.781250 1443278203.8620
MEM 998.632812 1443278203.9729
MEM 447.992188 1443278204.0854
MEM 284.800781 1443278204.1976
