iPTF13bvn,B,y
iPTF13bvn,m2,n
iPTF13bvn,U,y
iPTF13bvn,V,y
iPTF13bvn,w1,y
iPTF13bvn,w2,y
LSQ13ccw,B,y
LSQ13ccw,R,y
LSQ13ccw,V,y
OGLE-2012-sn-006,B,y
OGLE-2012-sn-006,U,y
OGLE-2012-sn-006,V,y
PS1-12sk,B,n
PS1-12sk,H,n
PS1-12sk,J,n
PS1-12sk,K,n
PS1-12sk,m2,n
PS1-12sk,r,y
PS1-12sk,U,y
PS1-12sk,V,n
PS1-12sk,w1,y
PS1-12sk,w2,y
PTF12gzk,H,y
PTF12gzk,I,y
PTF12gzk,J,y
PTF12gzk,m2,n
PTF12gzk,R,y
PTF12gzk,U,n
PTF12gzk,V,y
PTF12gzk,w1,n
sn1954A,U,y
sn1962L,U,y
sn1976B,B,y
sn1976B,U,y
sn1976B,V,y
sn1983N,B,y
sn1983N,U,n
sn1983N,V,n
sn1984I,B,y
sn1984I,U,n
sn1984I,V,n
sn1993J,B,y
sn1993J,R,y
sn1993J,U,y
sn1993J,V,y
sn1994I,B,y
sn1994I,I,y
sn1994I,R,y
sn1994I,U,y
sn1996cb,B,y
sn1997ef,V,y
sn1998bw,B,y
sn1998bw,I,y
sn1998bw,R,y
sn1998bw,U,y
sn1998bw,V,y
sn1999dn,B,y
sn1999dn,I,y
sn1999dn,J,y
sn1999dn,R,y
sn1999dn,U,y
sn1999dn,V,y
sn1999ex,B,y
sn1999ex,H,y
sn1999ex,I,y
sn1999ex,K,y
sn1999ex,R,y
sn1999ex,U,y
sn1999ex,V,y
sn2002ap,B,y
sn2002ap,H,y
sn2002ap,I,y
sn2002ap,J,y
sn2002ap,K,y
sn2002ap,R,n
sn2002ap,U,y
sn2002ap,V,n
sn2003bg,B,y
sn2003bg,I,y
sn2003bg,R,y
sn2003bg,V,y
sn2003dh,B,y
sn2003dh,H,y
sn2003dh,R,y
sn2003dh,V,y
sn2003jd,B,y
sn2003jd,I,y
sn2003jd,R,y
sn2003jd,V,y
sn2003lw,H,n
sn2003lw,I,n
sn2003lw,J,y
sn2003lw,K,n
sn2003lw,R,y
sn2003lw,V,y
sn2004aw,B,n
sn2004aw,H,y
sn2004aw,I,y
sn2004aw,K,y
sn2004aw,R,y
sn2004aw,U,n
sn2004aw,V,y
sn2004dk,I,y
sn2004dk,R,y
sn2004dk,V,n
sn2004dn,B,y
sn2004dn,I,y
sn2004dn,R,y
sn2004dn,V,y
sn2004fe,B,y
sn2004fe,R,y
sn2004ff,R,y
sn2004ff,V,y
sn2004ge,R,y
sn2004gq,B,y
sn2004gq,H,n
sn2004gq,J,n
sn2004gq,K,n
sn2004gq,R,y
sn2004gq,U,y
sn2004gq,V,y
sn2004gt,H,n
sn2004gt,i,y
sn2004gt,J,n
sn2004gt,R,y
sn2004gt,V,n
sn2004gv,i,n
sn2004gv,R,n
sn2004gv,V,n
sn2005az,B,y
sn2005az,H,y
sn2005az,K,y
sn2005az,R,y
sn2005bf,H,y
sn2005bf,i,y
sn2005bf,J,y
sn2005bf,K,y
sn2005bf,r,y
sn2005bf,U,y
sn2005by,B,y
sn2005by,R,y
sn2005by,V,y
sn2005hg,B,y
sn2005hg,H,y
sn2005hg,i,y
sn2005hg,J,y
sn2005hg,K,y
sn2005hg,R,y
sn2005hl,i,y
sn2005hl,r,y
sn2005hm,i,y
sn2005hm,r,y
sn2005hm,u,n
sn2005kl,B,y
sn2005kl,H,y
sn2005kl,i,y
sn2005kl,J,y
sn2005kl,K,y
sn2005kl,r,y
sn2005kl,V,y
sn2005kz,B,y
sn2005kz,i,y
sn2005kz,R,y
sn2005kz,V,n
sn2005la,i,y
sn2005la,V,y
sn2005mf,B,y
sn2005mf,H,y
sn2005mf,i,y
sn2005mf,J,y
sn2005mf,K,y
sn2005mf,r,y
sn2005mf,U,n
sn2005nb,B,y
sn2005nb,i,y
sn2005nb,r,y
sn2005nb,U,n
sn2005nb,V,y
sn2006ab,R,y
sn2006aj,B,y
sn2006aj,i,y
sn2006aj,K,y
sn2006aj,m2,n
sn2006aj,r,y
sn2006aj,U,y
sn2006aj,V,y
sn2006aj,w2,n
sn2006ba,i,y
sn2006ba,r,y
sn2006ba,V,y
sn2006bf,B,n
sn2006bf,i,y
sn2006bf,r,y
sn2006bf,V,y
sn2006cb,B,n
sn2006cb,V,y
sn2006el,B,y
sn2006el,i,y
sn2006el,V,y
sn2006ep,B,y
sn2006ep,V,y
sn2006F,B,y
sn2006F,i,y
sn2006F,R,y
sn2006F,U,y
sn2006F,V,n
sn2006fo,B,y
sn2006fo,i,y
sn2006fo,J,y
sn2006fo,K,y
sn2006fo,R,y
sn2006fo,V,n
sn2006jc,i,y
sn2006jc,K,y
sn2006jc,r,y
sn2006lc,B,y
sn2006lc,i,y
sn2006lc,r,y
sn2006lc,U,n
sn2006lv,B,y
sn2006lv,i,y
sn2006lv,r,y
sn2006lv,V,y
sn2006T,B,y
sn2006T,i,y
sn2006T,r,y
sn2006T,V,y
sn2007ag,V,y
sn2007bg,B,y
sn2007bg,I,n
sn2007bg,m2,n
sn2007bg,R,n
sn2007bg,U,n
sn2007bg,V,y
sn2007bg,w1,n
sn2007C,B,y
sn2007C,H,y
sn2007C,J,y
sn2007C,K,y
sn2007C,R,y
sn2007ce,B,y
sn2007ce,H,y
sn2007ce,i,y
sn2007ce,K,n
sn2007ce,r,y
sn2007ce,V,y
sn2007cl,B,y
sn2007cl,i,y
sn2007D,B,n
sn2007D,H,n
sn2007D,J,n
sn2007D,K,n
sn2007D,R,y
sn2007D,V,n
sn2007D,w1,n
sn2007gr,B,y
sn2007gr,H,y
sn2007gr,I,y
sn2007gr,J,y
sn2007gr,K,y
sn2007gr,R,y
sn2007gr,U,y
sn2007gr,V,y
sn2007ke,B,n
sn2007ke,i,y
sn2007ke,V,y
sn2007kj,B,y
sn2007kj,i,y
sn2007kj,r,y
sn2007kj,V,y
sn2007ru,B,y
sn2007ru,I,y
