,jd,mag,magerr,filter
162,2458871.842419,20.045590889731,0.18246562281915524,ZTF_i
163,2458871.8471065,19.68787956637653,0.12175218271095486,ZTF_i
164,2458871.866794,19.731043952374137,0.12081019997873674,ZTF_i
165,2458871.9113426,19.126796306012377,0.04821971244060656,ZTF_g
166,2458871.9497569,19.06620683522555,0.04438013630608836,ZTF_g
167,2458871.9653009,19.11701649429486,0.04971386469635345,ZTF_g
168,2458871.9661921,19.192772756618737,0.05682693402126229,ZTF_g
169,2458871.9666782,19.093233488080212,0.0463384809419104,ZTF_g
170,2458871.9991898,19.556466436943612,0.08332387316826434,ZTF_r
171,2458872.0152199,19.581586449361755,0.0970524940710941,ZTF_r
172,2458872.0233681,19.5532764810543,0.08798262104909062,ZTF_r
173,2458872.0242708,19.46639077251806,0.07597327910032343,ZTF_r
174,2458872.0265625,19.698825346038287,0.1103698683081824,ZTF_r
175,2458872.051169,19.64030872769812,0.09317675488109445,ZTF_i
176,2458872.9291204,19.5443997973799,0.057090520394842324,ZTF_g
177,2458872.9300579,19.513458622668196,0.06411277309831014,ZTF_g
178,2458872.9550926,19.63241513393026,0.05582855050454913,ZTF_g
179,2458872.9907755,19.785883554363547,0.13185283265558434,ZTF_i
180,2458873.0131134,20.03314213332296,0.20254230217977448,ZTF_i
181,2458873.0165856,19.887281374914714,0.13870626799135974,ZTF_i
182,2458873.0340741,19.911319946636382,0.13683731575305655,ZTF_i
183,2458873.0480787,19.869550888875068,0.10471721972085142,ZTF_r
184,2458873.0732176,19.77471378254129,0.15184625746398486,ZTF_r
185,2458873.7879282,20.087586975602107,0.145685443498687,ZTF_r
186,2458873.8218981,19.876644832114604,0.12516557981157603,ZTF_r
187,2458873.861875,20.09079435231926,0.09257596035667168,ZTF_g
188,2458873.8863657,20.06863640954179,0.09289252261378474,ZTF_g
189,2458873.9067361,20.260725564870924,0.10282123939911973,ZTF_g
190,2458873.9076389,19.983791871300177,0.09376788481467133,ZTF_g
191,2458873.9266088,20.298188983321552,0.18383537640127687,ZTF_i
192,2458873.974838,20.521501739474484,0.17320887821809605,ZTF_i
193,2458873.9934606,20.524438084459362,0.1701985911469503,ZTF_i
194,2458873.9958218,20.391996695104858,0.15602678191289943,ZTF_i
195,2458874.0122917,19.99091750236597,0.11003197565178667,ZTF_r
196,2458874.0261921,20.208507314716947,0.13622651275457728,ZTF_r
197,2458874.8285764,20.407302894238647,0.13662231148179635,ZTF_r
209,2458875.9921759,20.93489001927973,0.21172911516210324,ZTF_g
210,2458876.0119329,20.830677173293438,0.18060955529794814,ZTF_r
211,2458876.0128356,20.755882835320172,0.20625677497133013,ZTF_r
212,2458876.0335995,20.791061162182267,0.22043586816553312,ZTF_r
214,2458876.0372685,20.966789065541406,0.22320601827140837,ZTF_r
221,2458876.9905787,21.051376610904327,0.2389686687356133,ZTF_i
222,2458876.9917477,20.88204400912729,0.18130532899511276,ZTF_i
225,2458877.0283449,21.136749683686716,0.19762352996888424,ZTF_g
226,2458877.0480903,20.737097114321255,0.173726064781089,ZTF_r
228,2458877.9071412,20.666375647766586,0.2291734546507773,ZTF_i
229,2458877.9517245,20.73572528322026,0.21260136625157755,ZTF_i
231,2458877.9724884,20.937669637989316,0.21240093811830538,ZTF_i
232,2458877.9893287,21.046522049796604,0.22152384441487621,ZTF_r
239,2458878.0365856,20.950203551881422,0.20579684616414604,ZTF_g
267,2458880.8753241,20.968925816209165,0.22923334425236247,ZTF_i
268,2458880.8906829,20.887647103452064,0.20750777045397623,ZTF_i
270,2458880.9698958,21.079520113371913,0.1949544368750559,ZTF_g
272,2458880.9921759,21.074776306682775,0.20934296551979176,ZTF_g
274,2458881.0092361,20.54251910519121,0.19089057242389418,ZTF_r
