 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 791 8 2 ZTF_r 1050554293015 0 2.7358 196.753 10.8135 26.0824 2.96641e-05 0.0368762 0.120455 4.18026e-05 321 30. 0.085946 0.076043 19.41 26.0824 1 2458805.054294 791120230 -112.928225897112 61.8897164174732 -2.02973253787964 2.19494045947168 -102.435894190041 97.2107088015767 -1.06084820389026 1.06278273140609 1.39498396456066 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 10 790 5 3 ZTF_g 1051532701915 0 2.4056 180.962 9.58091 26.0714 2.99617e-05 0.0354836 -0.0539645 4.72085e-05 287 30. 0.0735 0.066099 19.6521 26.0714 1 2458806.0327083 790120119 21.456079859343 45.0560604045659 0.529726821115841 1.66836257354054 -27.5952173794973 76.550220745487 -0.362913032590756 1.05452838810995 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 11 790 5 3 ZTF_r 1058556681915 0 2.3357 165.101 6.96125 26.0886 1.62848e-05 0.0270564 0.117474 2.31719e-05 328 30. 0.080816 0.061066 20.0365 26.0886 1 2458813.0566898 790120219 -21.7685737314094 34.60950702461 -0.699663733156926 2.10896871742752 9.46470171608273 59.4671157803348 0.160230522393054 1.05670464787493 1.43827787431767 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 12 791 8 2 ZTF_g 1060510633015 0 3.3091 179.666 5.3236 25.8029 4.78102e-05 0.0435859 -0.0930314 8.00096e-05 257 30. 0.101987 0.075517 19.716 25.8029 1 2458815.0106366 791120130 -6.33219922561922 34.3693900982435 -0.204945103148889 1.81201443602195 1.06435102897484 49.4696054088709 0.0216601585061396 1.06829119397089 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 13 790 5 3 ZTF_g 1069518961915 0 2.4917 25.9433 6.47492 23.9367 0.000709133 0.0905982 -0.0861436 0.00156854 103 30. 0.091348 0.076945 17.9057 23.9367 1 2458824.0189699 790120119 11.069865581266 33.371378185678 0.368997144837735 0.953594772314694 19.524149860468 55.4810791460856 0.354276564832918 1.06140437732668 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 14 790 5 3 ZTF_i 1074522071915 0 3.0963 685.118 14.1037 26.8821 5.0896e-06 0.0240495 0.194986 1.89489e-05 329 90. 0.084316 0.069396 19.8003 26.8821 2 2458829.0220718 790120319 94.5219984801174 96.609954410951 1.08834307758978 1.60648340107148 83.6327122724231 140.620354701585 0.598746771618186 1.10696874336284 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 15 790 5 3 ZTF_i 1074523211915 0 2.844 686.76 13.995 26.8861 3.4049e-06 0.0196125 0.193533 1.29632e-05 329 90. 0.080523 0.073476 19.8804 26.8861 2 2458829.0232176 790120319 68.1720941261337 84.8727708875415 0.893496910175366 1.58739070288958 111.214685853924 132.240159723232 0.846669600189595 1.08168365184267 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 16 791 8 2 ZTF_i 1074524393015 0 2.4726 918.786 14.0605 26.8807 3.7766e-06 0.0207545 0.192677 1.35474e-05 322 90. 0.073768 0.065335 19.9738 26.8807 2 2458829.0243981 791120330 -22.9089112814747 81.9669971768439 -0.310899645074795 5.91464233715667 136.935716072203 137.037959818984 1.00598393452903 1.06646077237164 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 17 791 8 2 ZTF_g 1074557253015 0 2.0926 280.133 10.9853 26.2903 3.01868e-05 0.0363504 -0.0703519 4.63815e-05 300 30. 0.080476 0.05942 19.8301 26.2903 1 2458829.0572569 791120130 42.984395784344 52.7000530815554 0.907307654555675 6.90670551631964 39.1474383142497 95.2288042650616 0.413856908818711 1.04796624718998 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 18 790 5 3 ZTF_i 1075510421915 49 2.8005 144.607 61.7412 25.346 0.000166701 0.0558454 0.205834 0.000719822 68 90. 0.101689 0.122574 16.7742 25.346 2 2458830.0104282 790120319 -748.298478127768 303.943225881409 -2.73865417244926 1.05910810819971 -1045.3053553089 474.762321125906 -2.21657343093865 1.08115826103486 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 19 790 5 3 ZTF_i 1075511571915 49 2.7982 104.095 59.6936 24.8765 0.000274897 0.0567985 0.201142 0.00131717 46 90. 0.101431 0.121917 16.3466 24.8765 2 2458830.0115741 790120319 352.874541501452 322.535685595302 1.21701899216405 1.1493273065036 566.061069834485 502.572977219755 1.13391198798759 1.0986791368731 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 20 791 8 2 ZTF_i 1075515033015 49 2.1755 134.502 57.6206 24.838 0.000130472 0.0481483 0.216009 0.00050609 59 90. 0.101868 0.111437 16.5366 24.838 2 2458830.0150347 791120330 333.361551045361 276.358388244517 1.34183049635106 1.15100738351785 1123.96071151505 491.812563251758 2.30073555684028 1.06161477263922 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 21 791 8 2 ZTF_i 1075516183015 49 2.2426 102.723 55.3133 24.389 0.0018201 0.0835417 0.115333 0.00904832 22 90. 0.105827 0.131859 16.1019 24.389 2 2458830.0161806 791120330 187.860967609092 283.837602210582 0.736243420409824 1.01820175239904 -311.134241401899 492.188504456425 -0.636401999605319 1.08037188360989 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 22 790 5 3 ZTF_i 1076510491915 33554432 1.4414 688.252 14.1292 26.9093 5.4031e-06 0.0247843 0.192603 1.99337e-05 330 90. 0.070481 0.062222 20.3696 26.9093 2 2458831.0104977 790120319 31.4080932976008 58.0169200677073 0.602201320709923 26.4018171512703 -72.8861331980076 118.414995078325 -0.619659912581663 1.03411157305936 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 23 790 5 3 ZTF_i 1076511641915 0 1.4426 690.96 14.1111 26.8994 2.8289e-06 0.0178896 0.195214 1.06231e-05 330 90. 0.068779 0.070371 20.354 26.8994 2 2458831.0116435 790120319 16.8389710326177 55.5134986563183 0.337420723241041 9.06747840469976 -57.1442352917924 115.369774187929 -0.498649714877315 1.03137333672521 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 24 790 5 3 ZTF_i 1076512781915 0 1.5185 686.517 13.9742 26.8977 2.7918e-06 0.017806 0.190603 1.02848e-05 330 90. 0.066906 0.061637 20.335 26.8977 2 2458831.0127894 790120319 -42.6363550779194 58.6721245914022 -0.808356726695899 61.3763846851679 -129.496745074584 119.578623700638 -1.09023593907235 1.0336314486817 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 25 791 8 2 ZTF_i 1076513963015 0 1.5678 916.612 13.9423 26.9264 4.9642e-06 0.0237745 0.188365 1.77878e-05 320 90. 0.063549 0.065894 20.3412 26.9264 2 2458831.0139699 791120330 -6.30086840424391 60.2248679866351 -0.116380268207137 250.571439265069 242.415275909343 121.130861942803 2.01474630680966 1.03125767602982 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 26 791 8 2 ZTF_i 1076515113015 0 1.3563 912.118 13.9109 26.8989 5.8569e-06 0.0260032 0.187483 2.06882e-05 323 90. 0.072969 0.084906 20.3819 26.8989 2 2458831.0151157 791120330 -65.6613410300129 55.5979152424785 -1.31372977243946 36.8491066909798 122.656359251219 114.131364610471 1.08193271244274 1.02812816251721 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 27 791 8 2 ZTF_i 1076516263015 0 1.3878 917.508 13.8171 26.9284 6.4217e-06 0.0270452 0.182639 2.29263e-05 321 90. 0.075595 0.08511 20.406 26.9284 2 2458831.0162616 791120330 -21.0617503557075 63.9941507729875 -0.366107799983701 57.363133458779 25.7510860352516 131.566098661852 0.197045601754263 1.02765976146338 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 28 790 5 3 ZTF_i 1077518681915 0 2.2606 685.654 14.4794 26.8938 2.3897e-06 0.0165724 0.192074 8.63003e-06 330 90. 0.069964 0.053881 20.0203 26.8938 2 2458832.0186806 790120319 33.6680597380507 82.3474823926313 0.454802207669067 4.71020353554368 133.579950681957 143.94761649391 0.934226092871775 1.06021300893894 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 29 790 5 3 ZTF_i 1077519821915 0 2.283 690.679 14.4123 26.9026 2.0324e-06 0.0153252 0.193199 7.52162e-06 332 90. 0.070658 0.055662 20.0234 26.9026 2 2458832.0198264 790120319 -55.9663889087792 69.1225145055848 -0.900663491299148 2.45001551080076 83.7939762412278 121.000675345512 0.697172418677911 1.05794060017153 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 30 791 8 2 ZTF_i 1077520993015 0 2.3152 909.358 14.4846 26.8813 2.3417e-06 0.0163997 0.192009 8.45195e-06 322 90. 0.075384 0.060183 19.981 26.8813 2 2458832.0209954 791120330 -0.125589995253606 73.9181429256383 -0.00188998691630479 8.70192360170592 -18.3601141475999 127.507501603666 -0.144962220577302 1.05509571336828 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 31 791 8 2 ZTF_g 1077558943015 0 2.7913 287.658 12.0633 26.3192 3.86051e-05 0.0381861 -0.0708013 6.63158e-05 250 30. 0.080689 0.072937 19.5028 26.3192 1 2458832.0589468 791120130 36.8011888349429 66.0830606027734 0.619478874526925 1.82078855699775 102.987763301214 101.886787202981 1.01761371281522 1.07427512472476 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 32 790 5 3 ZTF_r 1079491311915 0 3.3819 186.274 11.0373 26.2267 3.08879e-05 0.0365676 0.118262 4.33256e-05 325 30. 0.093798 0.071569 19.3942 26.2267 1 2458833.9913194 790120219 -11.1279516118696 67.6722761212984 -0.182919179912663 1.197265186605 4.75380437429583 93.4164246344688 0.0512310499892601 1.11341188358913 1.43827787431767 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 33 790 5 3 ZTF_r 1079497821915 0 3.6517 187.314 10.8913 26.217 2.99658e-05 0.036126 0.123644 4.16904e-05 321 30. 0.09836 0.083577 19.3187 26.217 1 2458833.9978241 790120219 -81.8035276383205 79.2847411087275 -1.14772335972545 1.31220205644581 -11.7609118015904 104.659075391591 -0.113130391941036 1.14897224761041 1.43827787431767 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 34 791 8 2 ZTF_r 1079499643015 0 3.9403 223.613 10.1912 26.2173 3.96564e-05 0.0415819 0.118875 5.53869e-05 309 30. 0.11791 0.097851 19.296 26.2173 1 2458833.9996412 791120230 85.0520274424261 82.6519580722524 1.14468587816926 3.6713153533149 98.3273559024914 104.99075386428 0.942841085127485 1.1875018126551 1.39498396456066 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 35 790 5 3 ZTF_g 1079551191915 0 3.7054 218.427 10.5384 26.2772 4.7734e-05 0.0377422 -0.0524095 8.78227e-05 207 30. 0.085842 0.075571 19.3814 26.2772 1 2458834.0511921 790120119 63.0784090449597 77.2982035626822 0.907749736028554 0.943304625593518 -59.7171480617858 100.773362396116 -0.596579741514308 1.15533566052651 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 36 790 5 3 ZTF_g 1079558471915 0 4.348 218.225 10.5953 26.2785 8.26534e-05 0.0467214 -0.0612858 0.000159827 186 30. 0.088069 0.080383 19.2316 26.2785 1 2458834.0584722 790120119 -80.6285355141946 93.5658008150887 -0.958575740459354 1.06288240383392 -39.390127172565 113.881344947406 -0.348217014504824 1.23385907985108 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 37 791 8 2 ZTF_r 1081491743015 0 3.0527 227.311 9.17987 26.216 2.43307e-05 0.0335591 0.131785 3.44287e-05 324 30. 0.080756 0.07389 19.639 26.216 1 2458835.9917477 791120230 -33.5095764011687 55.8641850961262 -0.667252594276394 3.7395461046881 -31.6773987433127 82.5730148228454 -0.386212710227723 1.08424446705279 1.39498396456066 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 38 790 5 3 ZTF_r 1082507481915 0 1.9443 186.036 8.35737 26.2362 1.18169e-05 0.0231171 0.11162 1.6716e-05 330 30. 0.067005 0.055396 20.1814 26.2362 1 2458837.0074884 790120219 -9.01545552189101 35.9195449426822 -0.279197580340226 19.1099702022296 -88.3729721831616 69.886772764048 -1.27303301778894 1.03106934991818 1.43827787431767 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 39 790 5 3 ZTF_g 1082557231915 0 1.9804 218.61 7.23945 26.2777 2.09678e-05 0.0304957 -0.0732189 3.00439e-05 321 30. 0.066899 0.058208 20.4673 26.2777 1 2458837.0572338 790120119 0.854740022620218 29.1499100561989 0.032617571421579 1.47571062247421 -13.320189000265 55.1383998091376 -0.243204396318649 1.04040362574099 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 40 790 5 3 ZTF_g 1082571411915 0 1.9838 216.931 9.65887 26.2897 2.22508e-05 0.0313012 -0.0826035 3.29283e-05 313 30. 0.065372 0.062352 20.1327 26.2897 1 2458837.071412 790120119 -29.9376265396394 40.6243036571331 -0.819759083648243 3.94650951171472 -24.9968544353374 76.3302850468538 -0.329688401827714 1.04127623816265 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 41 790 5 3 ZTF_i 1083539501915 0 3.7752 682.743 11.8935 26.8633 3.903e-06 0.0211982 0.201235 1.44531e-05 331 90. 0.087184 0.079899 19.7709 26.8633 2 2458838.0395023 790120319 16.4162899784799 95.9638278119913 0.190292754757378 1.24705277860557 135.956405595013 125.97876010449 1.08646949450375 1.17012653054403 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 42 791 8 2 ZTF_g 1084491303015 0 2.5251 91.305 8.32384 25.0491 7.1729e-05 0.0420551 -0.053325 0.000138808 166 30. 0.084689 0.0718 18.7171 25.0491 1 2458838.9913079 791120130 24.5880685543877 42.3639836514442 0.645628100735941 1.11973940597357 -11.5450409511265 68.7900119818226 -0.16896053847536 1.06143127693736 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 43 790 5 3 ZTF_i 1084539741915 0 1.9777 209.435 16.7266 25.6275 9.7415e-06 0.0326475 0.187637 3.45534e-05 319 90. 0.076894 0.063343 18.7248 25.6275 2 2458839.0397454 790120319 -42.8451951761734 76.629750293238 -0.621955791590132 1.14798359968987 -82.7736774644326 142.540269872826 -0.584614881246396 1.04656053495421 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 44 791 8 2 ZTF_r 1084562363015 0 2.1711 72.6955 12.4794 24.9943 6.31466e-05 0.0482721 0.147046 8.95208e-05 258 30. 0.08615 0.075149 18.3542 24.9943 1 2458839.0623611 791120230 34.1129424924391 60.1461905688081 0.630907742686849 1.35479523234146 100.114292515456 104.974116719194 0.960127802791852 1.05366354700563 1.39498396456066 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 45 790 5 3 ZTF_i 1092536081915 0 2.5555 689.835 10.8848 26.9084 1.9444e-06 0.0149684 0.197844 7.29703e-06 330 90. 0.071838 0.059506 20.2159 26.9084 2 2458847.036088 790120319 -67.7721420938304 73.5854282108883 -1.02450525964586 2.47226148201065 -178.555823764096 124.980645945707 -1.4382899540176 1.06024175210125 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 46 791 8 2 ZTF_g 1092560543015 0 2.2985 287.564 4.54089 26.3246 3.43726e-05 0.0398152 -0.115716 4.82298e-05 326 30. 0.112229 0.060668 20.6704 26.3246 1 2458847.060544 791120130 29.969186247618 23.7977409196714 1.40085769367807 10.9322272845674 10.4114593314697 40.4723086737797 0.258981546952869 1.05480503761922 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 47 790 5 3 ZTF_g 1092562381915 0 2.3937 222.39 4.65906 26.3149 3.25386e-05 0.0379349 -0.126801 4.61287e-05 325 30. 0.098967 0.055256 20.6947 26.3149 1 2458847.0623843 790120119 -9.20157076684757 26.9256515519659 -0.38014610966823 3.13836145740174 5.99187099676475 46.6787705809553 0.129228480476108 1.04810616786057 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 48 790 5 3 ZTF_i 1095535931915 0 2.1772 358.261 13.565 26.1795 9.1408e-06 0.0323267 0.197129 3.48062e-05 330 90. 0.070129 0.066355 19.5101 26.1795 2 2458850.0359375 790120319 63.0628619632278 64.7976241674676 1.08260342031292 1.23908080087148 113.841527106149 120.667792691538 0.949783316531217 1.0493587904524 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 49 790 5 3 ZTF_g 1097536451915 0 3.1588 164.364 5.52034 25.967 3.15908e-05 0.0362807 -0.0773499 5.07454e-05 288 30. 0.103675 0.065694 19.8909 25.967 1 2458852.0364583 790120119 -11.5831884923121 33.1935400042312 -0.388176601533248 1.12655685322523 -48.49830065398 47.9935466712165 -1.01732301289815 1.09311507420786 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 50 790 5 3 ZTF_g 1098534171915 0 2.2499 223.159 4.55285 26.3156 3.44766e-05 0.0395247 -0.122009 4.90332e-05 330 30. 0.103927 0.063556 20.8076 26.3156 1 2458853.0341782 790120119 -28.279206169486 21.2898756783733 -1.47757280705206 3.29718090291758 -92.9699611498123 37.3201273774663 -2.50792603788612 1.04885288614303 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 51 791 8 2 ZTF_g 1098534663015 0 1.9214 289.964 4.49888 26.3143 3.40914e-05 0.0395273 -0.102868 4.78743e-05 323 30. 0.101995 0.060178 20.8036 26.3143 1 2458853.0346644 791120130 1.15533798643592 23.4720056878229 0.0547537226970519 36.1261482818051 17.3138374294502 42.5730616995726 0.409424326671404 1.04445351712893 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
