,jd,mag,magerr,filter
133,2458376.9783796,17.798186151709295,0.015231695640154528,ZTF_g
134,2458377.8897338,16.34106411755996,0.006800355992787539,ZTF_g
135,2458377.925625,16.552456112918705,0.0077315434507898755,ZTF_r
136,2458378.9018056,16.068701583917424,0.005899930136043768,ZTF_r
137,2458378.9027199,16.10212489121674,0.005934506263994758,ZTF_r
138,2458378.9169907,16.142145156747638,0.005749605132845597,ZTF_r
139,2458378.9538079,15.944206234946154,0.005548964209509787,ZTF_g
140,2458378.9739931,15.938381607888143,0.005313456788959138,ZTF_g
141,2458378.9749074,16.021336307153568,0.005342864964445314,ZTF_g
142,2458379.9127546,15.980834871073252,0.005475678220465696,ZTF_r
143,2458379.9449306,15.882516682248061,0.005328889110308973,ZTF_g
144,2458380.934537,15.983169894663371,0.0054630490357694,ZTF_r
145,2458382.945,16.14446845840188,0.006048007612134541,ZTF_g
146,2458382.946412,16.191567863595537,0.0060927866506287195,ZTF_g
147,2458382.9871991,16.162220475159042,0.006153053411435008,ZTF_r
148,2458382.9881134,16.104639130680592,0.005974042754263358,ZTF_r
149,2458383.8334954,16.147930340134714,0.0068931700307404645,ZTF_r
150,2458383.8904282,16.16201062175249,0.006939640138343479,ZTF_r
151,2458383.9785764,16.345436686520465,0.006717094460233499,ZTF_g
152,2458384.8098611,16.549336377303273,0.010433698880231436,ZTF_g
153,2458384.9987384,16.607264827146267,0.00859370740118379,ZTF_g
154,2458385.822662,16.541154367656517,0.011479718912884278,ZTF_r
155,2458385.8235764,16.512378447013592,0.010324179183218082,ZTF_r
156,2458385.9041898,16.82369814467415,0.012756269919227809,ZTF_g
157,2458385.9431134,16.71941916505996,0.012941622107390346,ZTF_g
158,2458385.952338,16.789683417784445,0.012949028774242139,ZTF_g
159,2458386.8372338,16.700032608450385,0.012203436900169125,ZTF_r
160,2458386.9016551,16.646466167167596,0.012598578016150552,ZTF_r
161,2458386.9667361,16.971300172530107,0.018983840867199137,ZTF_g
162,2458387.8236111,16.665821222832683,0.015597562118810934,ZTF_i
163,2458387.9143287,16.67821934136788,0.0169570492555527,ZTF_i
164,2458388.843912,17.2039392813898,0.018070626798203298,ZTF_g
165,2458389.8916435,17.30530643315192,0.017110781756632946,ZTF_g
166,2458390.7575116,16.919243178105948,0.01399885123583656,ZTF_r
167,2458390.859537,17.316028561771752,0.015873583878325076,ZTF_g
168,2458390.8771181,17.308373078463593,0.021372908872353515,ZTF_g
169,2458397.8190046,17.14611153249114,0.01656304109925122,ZTF_i
170,2458397.8735069,17.870061513593875,0.015633066711938697,ZTF_g
171,2458397.9056597,17.110739497347026,0.010346127652372509,ZTF_r
172,2458422.7762616,18.38412045310431,0.07360577152326686,ZTF_i
173,2458422.821169,18.53199592616208,0.046962868043435885,ZTF_r
174,2458423.8463889,18.44859576340837,0.0346198712683886,ZTF_r
175,2458424.7677083,18.505303733146484,0.05959390151269938,ZTF_r
176,2458425.7351505,18.449420512621913,0.2030131631719542,ZTF_r
177,2458425.7708681,18.516094246061233,0.034217792644363795,ZTF_r
178,2458425.8592014,19.43874595564363,0.05405657958163227,ZTF_g
179,2458426.7712384,18.41994542668065,0.034076796907119594,ZTF_r
180,2458426.7976736,18.48346085378015,0.05701302588657089,ZTF_i
181,2458426.8388773,19.778406394785684,0.06593241284573376,ZTF_g
183,2458427.7659028,18.622786416034504,0.04992616777696103,ZTF_r
184,2458428.7193171,19.73718542571211,0.08484121542995886,ZTF_g
185,2458428.7551852,18.58269784650812,0.03897041690518901,ZTF_r
186,2458429.8247222,18.557049370475728,0.03162766608426677,ZTF_r
187,2458430.7458218,18.55792175313768,0.053357225065546875,ZTF_i
188,2458430.7759259,19.788017479535064,0.05332500608140853,ZTF_g
189,2458431.6959954,18.73915770897254,0.076334776149958,ZTF_r
190,2458431.7402199,19.735107617206,0.12511176053345768,ZTF_g
191,2458431.8289931,18.67826301643339,0.05656291688238537,ZTF_r
192,2458432.8159606,18.7336922980569,0.04070534790903596,ZTF_r
193,2458434.6986227,18.79815478777794,0.055044207040894834,ZTF_r
194,2458434.7431481,18.80112312957997,0.0919348792923781,ZTF_i
195,2458434.766169,19.827135491326032,0.11029760659525767,ZTF_g
196,2458435.7037731,19.982963972837343,0.11443205666624455,ZTF_g
197,2458435.8121991,18.843787924890492,0.07250254065110792,ZTF_r
198,2458436.6816667,20.053027318709795,0.16874464432350536,ZTF_g
199,2458436.7967245,18.92740584271459,0.07633129373119138,ZTF_r
200,2458437.7447454,19.697766105666272,0.09918042454848924,ZTF_g
201,2458437.7809028,18.84414296653419,0.03707086804526458,ZTF_r
202,2458437.8,18.786521738215352,0.041462142987234024,ZTF_r
204,2458439.7605903,18.847025123112893,0.13504892422556547,ZTF_r
207,2458443.6550694,18.89258587883146,0.08969538366567338,ZTF_r
208,2458443.7231134,19.917595060567358,0.2433356070934495,ZTF_g
209,2458447.8397685,19.08695027291067,0.10703614466240599,ZTF_r
210,2458448.8908912,19.18084276066571,0.09955071823481065,ZTF_r
211,2458449.8828009,19.094925176246775,0.18369570591013965,ZTF_r
214,2458455.8042014,19.432111027248247,0.08076158911927908,ZTF_r
215,2458456.7012616,19.482837366507447,0.0671939537827045,ZTF_r
216,2458457.6820949,19.579570874825,0.10402256751840103,ZTF_r
217,2458461.7634954,19.50694913933574,0.07093651079444085,ZTF_r
218,2458461.7644097,19.56821288360566,0.06931333738503873,ZTF_r
219,2458462.7647338,20.036897062640413,0.20483288316012102,ZTF_g
220,2458462.7868056,19.490034788925318,0.28727529431291315,ZTF_r
221,2458464.7554167,19.645172345584342,0.07992138398601811,ZTF_r
222,2458464.7563426,19.633693556853967,0.08355492611642053,ZTF_r
223,2458465.7695255,19.84187005101066,0.12183659578731788,ZTF_r
224,2458466.7450231,19.8332266606826,0.2161905495358927,ZTF_r
226,2458468.7589815,19.915938925466,0.12209355567514742,ZTF_r
227,2458469.6630903,20.68034836248713,0.3061068552177476,ZTF_g
228,2458469.6938194,19.815775178551284,0.15230094105102604,ZTF_r
229,2458472.6171528,20.394741537352548,0.35338774691567953,ZTF_r
230,2458472.6180671,19.548801054480712,0.1529448728650463,ZTF_r
232,2458472.6945023,20.445893469212677,0.3832688651146035,ZTF_g
233,2458472.700162,20.38329063054685,0.33062410562635164,ZTF_g
234,2458472.701088,20.623939404614546,0.3594415012388449,ZTF_g
238,2458475.6489699,19.922110523248787,0.15819149730314924,ZTF_r
239,2458475.6499421,19.777371372075816,0.13445998779153243,ZTF_r
240,2458481.798669,20.356815023903657,0.2176756251591529,ZTF_r
242,2458486.6200231,20.219093626392855,0.13850002856678262,ZTF_r
243,2458486.6209375,20.421029056322922,0.16656425421687848,ZTF_r
244,2458487.6163426,20.438196826838254,0.14762267116311767,ZTF_r
245,2458487.677419,21.22572852338064,0.255110743118602,ZTF_g
248,2458490.6227199,21.239430784995037,0.39649252286749065,ZTF_g
249,2458490.6236227,21.252828510368317,0.36893246180997846,ZTF_g
250,2458490.6570255,20.54872051755074,0.17399964319769723,ZTF_r
251,2458490.6579398,20.477999541535922,0.1758501303727612,ZTF_r
252,2458491.6083681,20.40567065822139,0.16678122630616785,ZTF_r
253,2458491.6578935,20.551104464351774,0.17700481516452973,ZTF_g
256,2458493.6112731,20.497436215017235,0.1721247475998403,ZTF_r
257,2458493.6121875,20.522361984910777,0.17943985145423574,ZTF_r
258,2458493.6719329,20.779561674035328,0.21079256938773622,ZTF_g
259,2458493.6728472,21.136206185768813,0.25993468027868105,ZTF_g
260,2458494.6125579,20.595643142538634,0.19773323500018009,ZTF_r
261,2458494.6694792,20.6848432501476,0.1762110389982228,ZTF_g
