 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 763 14 2 ZTF_g 786483465415 0 1.9003 106.401 6.05033 26.2239 3.872e-06 0.0269807 -0.0462009 7.2195e-06 1186 30. 0.044839 0.050568 20.5374 26.2239 2 2458540.9834606 763120154 -13.447040032083 27.6157411941634 -0.541657542348381 0.918412673861436 -109.558717841163 50.4990202789242 -2.18413350397822 1.06758160480083 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 10 763 14 2 ZTF_r 786511355415 0 1.7295 184.951 6.72427 26.1629 3.2561e-06 0.0247496 0.0953883 5.96436e-06 1193 30. 0.052299 0.062153 20.4386 26.1629 2 2458541.0113542 763120254 -26.964566714631 26.3230624911369 -1.13949344819598 0.934094637222346 -39.2467296592108 48.3521371180399 -0.817152270747949 1.06445241456623 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 11 763 14 2 ZTF_r 786534215415 0 1.8252 184.16 6.40048 26.1795 2.46e-06 0.0215055 0.093187 4.52001e-06 1191 30. 0.043562 0.054279 20.4723 26.1795 2 2458541.034213 763120254 10.7960361163199 25.132319080555 0.47784447063624 0.96708335207884 -48.5062395685826 45.7392067895269 -1.06763836346328 1.06672761377473 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 12 763 14 2 ZTF_r 786552905415 0 1.5933 188.199 7.93168 26.1828 3.7306e-06 0.026424 0.0946795 6.85626e-06 1191 30. 0.047357 0.072359 20.356 26.1828 2 2458541.0529051 763120254 30.1828779805117 27.0721508075639 1.24020274560786 0.945859689673282 -27.9911617854809 50.1394724819821 -0.5620259343714 1.06189108241063 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 13 763 14 2 ZTF_g 787426045415 0 2.8206 92.195 5.1624 26.0763 7.8284e-06 0.0374333 -0.0398017 1.55552e-05 1148 30. 0.063476 0.063206 20.1833 26.0763 2 2458541.9260417 763120154 9.23371648035193 29.7461255825192 0.345303459511055 1.02365384236604 51.3946217817551 45.6792257167409 1.13269799793208 1.07472320077797 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 14 763 14 2 ZTF_g 787451305415 0 1.7792 104.555 5.27287 26.2079 3.5846e-06 0.0260895 -0.0541644 6.71252e-06 1196 30. 0.046959 0.05022 20.6698 26.2079 2 2458541.9513079 763120154 29.789371308276 21.8881569549829 1.5139340070998 0.977801162075899 24.6921252563992 41.6049310280399 0.597487545981191 1.04977182676736 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 15 763 14 2 ZTF_g 787463985415 0 1.961 106.268 5.13188 26.2236 3.612e-06 0.0261452 -0.0487514 6.71478e-06 1195 30. 0.048113 0.052324 20.67 26.2236 2 2458541.9639815 763120154 54.835038298961 20.2606008112578 3.01065251212141 0.969998937232943 98.2641149580741 36.9208515135997 2.67940541375365 1.05560884500566 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 16 763 14 2 ZTF_g 787467675415 0 1.9139 106.113 5.0998 26.2206 3.5559e-06 0.0259011 -0.0471564 6.6613e-06 1190 30. 0.04726 0.051131 20.6844 26.2206 1 2458541.9676736 763120154 39.6941146719299 22.7769817551803 1.93858454982428 0.936849799686158 16.4570495452025 41.4438595122355 0.399767032215059 1.05902635847718 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 17 763 14 2 ZTF_r 787507485415 0 2.616 185.246 5.70073 26.1749 2.6734e-06 0.0224731 0.0954252 4.91624e-06 1196 30. 0.044314 0.053839 20.5217 26.1749 2 2458542.0074884 763120254 -18.3371327149369 26.2495037765619 -0.777078926287081 0.866924683181205 -63.8938831298974 45.5490739984829 -1.41219582446502 1.07818456657416 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 18 763 14 2 ZTF_r 787530685415 0 2.577 185.761 6.05719 26.1981 2.7178e-06 0.0226566 0.0985561 5.01837e-06 1199 30. 0.046163 0.055181 20.2667 26.1981 2 2458542.0306829 763120254 62.5537513982414 32.4795970084186 2.14238504865127 1.02655902245409 47.3808915409909 51.3814698157813 0.928350332183843 1.09977728085991 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
