,phs,mu,std
0,-22.0833333333,0.0,0.0
1,-22.0416666667,0.0,0.0
2,-22.0,0.0,0.0
3,-21.9583333333,0.0,0.0
4,-21.9166666667,0.0,0.0
5,-21.875,0.0,0.0
6,-21.8333333333,0.0,0.0
7,-21.7916666667,0.0,0.0
8,-21.75,0.0,0.0
9,-21.7083333333,0.0,0.0
10,-21.6666666667,0.0,0.0
11,-21.625,0.0,0.0
12,-21.5833333333,0.0,0.0
13,-21.5416666667,0.0,0.0
14,-21.5,0.0,0.0
15,-21.4583333333,0.0,0.0
16,-21.4166666667,0.0,0.0
17,-21.375,0.0,0.0
18,-21.3333333333,0.0,0.0
19,-21.2916666667,0.0,0.0
20,-21.25,0.0,0.0
21,-21.2083333333,0.0,0.0
22,-21.1666666667,0.0,0.0
23,-21.125,0.0,0.0
24,-21.0833333333,0.0,0.0
25,-21.0416666667,0.0,0.0
26,-21.0,0.0,0.0
27,-20.9583333333,0.0,0.0
28,-20.9166666667,0.0,0.0
29,-20.875,0.0,0.0
30,-20.8333333333,0.0,0.0
31,-20.7916666667,0.0,0.0
32,-20.75,0.0,0.0
33,-20.7083333333,0.0,0.0
34,-20.6666666667,0.0,0.0
35,-20.625,0.0,0.0
36,-20.5833333333,0.0,0.0
37,-20.5416666667,0.0,0.0
38,-20.5,0.0,0.0
39,-20.4583333333,0.0,0.0
40,-20.4166666667,0.0,0.0
41,-20.375,0.0,0.0
42,-20.3333333333,0.0,0.0
43,-20.2916666667,0.0,0.0
44,-20.25,0.0,0.0
45,-20.2083333333,0.0,0.0
46,-20.1666666667,0.0,0.0
47,-20.125,0.0,0.0
48,-20.0833333333,0.0,0.0
49,-20.0416666667,0.0,0.0
50,-20.0,0.0,0.0
51,-19.9583333333,0.0,0.0
52,-19.9166666667,0.0,0.0
53,-19.875,0.0,0.0
54,-19.8333333333,0.0,0.0
55,-19.7916666667,0.0,0.0
56,-19.75,0.0,0.0
57,-19.7083333333,0.0,0.0
58,-19.6666666667,0.0,0.0
59,-19.625,0.0,0.0
60,-19.5833333333,0.0,0.0
61,-19.5416666667,0.0,0.0
62,-19.5,0.0,0.0
63,-19.4583333333,0.0,0.0
64,-19.4166666667,0.0,0.0
65,-19.375,0.0,0.0
66,-19.3333333333,0.0,0.0
67,-19.2916666667,0.0,0.0
68,-19.25,0.0,0.0
69,-19.2083333333,0.0,0.0
70,-19.1666666667,0.0,0.0
71,-19.125,0.0,0.0
72,-19.0833333333,0.0,0.0
73,-19.0416666667,0.0,0.0
74,-19.0,0.0,0.0
75,-18.9583333333,0.0,0.0
76,-18.9166666667,0.0,0.0
77,-18.875,0.0,0.0
78,-18.8333333333,0.0,0.0
79,-18.7916666667,0.0,0.0
80,-18.75,0.0,0.0
81,-18.7083333333,0.0,0.0
82,-18.6666666667,0.0,0.0
83,-18.625,0.0,0.0
84,-18.5833333333,0.0,0.0
85,-18.5416666667,0.0,0.0
86,-18.5,0.0,0.0
87,-18.4583333333,0.0,0.0
88,-18.4166666667,0.0,0.0
89,-18.375,0.0,0.0
90,-18.3333333333,0.0,0.0
91,-18.2916666667,0.0,0.0
92,-18.25,0.0,0.0
93,-18.2083333333,0.0,0.0
94,-18.1666666667,0.0,0.0
95,-18.125,0.0,0.0
96,-18.0833333333,0.0,0.0
97,-18.0416666667,0.0,0.0
98,-18.0,0.0,0.0
99,-17.9583333333,0.0,0.0
100,-17.9166666667,0.0,0.0
101,-17.875,0.0,0.0
102,-17.8333333333,0.0,0.0
103,-17.7916666667,0.0,0.0
104,-17.75,0.0,0.0
105,-17.7083333333,0.0,0.0
106,-17.6666666667,0.0,0.0
107,-17.625,0.0,0.0
108,-17.5833333333,0.0,0.0
109,-17.5416666667,0.0,0.0
110,-17.5,0.0,0.0
111,-17.4583333333,0.0,0.0
112,-17.4166666667,0.0,0.0
113,-17.375,0.0,0.0
114,-17.3333333333,0.0,0.0
115,-17.2916666667,0.0,0.0
116,-17.25,0.0,0.0
117,-17.2083333333,0.0,0.0
118,-17.1666666667,0.0,0.0
119,-17.125,0.0,0.0
120,-17.0833333333,0.0,0.0
121,-17.0416666667,0.0,0.0
122,-17.0,0.0,0.0
123,-16.9583333333,0.0,0.0
124,-16.9166666667,0.0,0.0
125,-16.875,0.0,0.0
126,-16.8333333333,0.0,0.0
127,-16.7916666667,0.0,0.0
128,-16.75,0.0,0.0
129,-16.7083333333,0.0,0.0
130,-16.6666666667,0.0,0.0
131,-16.625,0.0,0.0
132,-16.5833333333,0.0,0.0
133,-16.5416666667,0.0,0.0
134,-16.5,0.0,0.0
135,-16.4583333333,0.0,0.0
136,-16.4166666667,0.0,0.0
137,-16.375,0.0,0.0
138,-16.3333333333,0.0,0.0
139,-16.2916666667,0.0,0.0
140,-16.25,0.0,0.0
141,-16.2083333333,0.0,0.0
142,-16.1666666667,0.0,0.0
143,-16.125,0.0,0.0
144,-16.0833333333,0.0,0.0
145,-16.0416666667,0.0,0.0
146,-16.0,0.0,0.0
147,-15.9583333333,0.0,0.0
148,-15.9166666667,0.0,0.0
149,-15.875,0.0,0.0
150,-15.8333333333,0.0,0.0
151,-15.7916666667,0.0,0.0
152,-15.75,0.0,0.0
153,-15.7083333333,0.0,0.0
154,-15.6666666667,0.0,0.0
155,-15.625,0.0,0.0
156,-15.5833333333,0.0,0.0
157,-15.5416666667,0.0,0.0
158,-15.5,0.0,0.0
159,-15.4583333333,0.0,0.0
160,-15.4166666667,0.0,0.0
161,-15.375,0.0,0.0
162,-15.3333333333,0.0,0.0
163,-15.2916666667,0.0,0.0
164,-15.25,0.0,0.0
165,-15.2083333333,0.0,0.0
166,-15.1666666667,0.0,0.0
167,-15.125,0.0,0.0
168,-15.0833333333,0.0,0.0
169,-15.0416666667,0.0,0.0
170,-15.0,0.0,0.0
171,-14.9583333333,0.0,0.0
172,-14.9166666667,0.0,0.0
173,-14.875,0.0,0.0
174,-14.8333333333,0.0,0.0
175,-14.7916666667,0.0,0.0
176,-14.75,0.0,0.0
177,-14.7083333333,0.0,0.0
178,-14.6666666667,0.0,0.0
179,-14.625,0.0,0.0
180,-14.5833333333,0.0,0.0
181,-14.5416666667,0.0,0.0
182,-14.5,0.0,0.0
183,-14.4583333333,0.0,0.0
184,-14.4166666667,0.0,0.0
185,-14.375,0.0,0.0
186,-14.3333333333,0.0,0.0
187,-14.2916666667,0.0,0.0
188,-14.25,0.0,0.0
189,-14.2083333333,0.0,0.0
190,-14.1666666667,0.0,0.0
191,-14.125,0.0,0.0
192,-14.0833333333,0.0,0.0
193,-14.0416666667,0.0,0.0
194,-14.0,0.0,0.0
195,-13.9583333333,0.0,0.0
196,-13.9166666667,0.0,0.0
197,-13.875,0.0,0.0
198,-13.8333333333,0.0,0.0
199,-13.7916666667,0.0,0.0
200,-13.75,0.0,0.0
201,-13.7083333333,0.0,0.0
202,-13.6666666667,0.0,0.0
203,-13.625,0.0,0.0
204,-13.5833333333,0.0,0.0
205,-13.5416666667,0.0,0.0
206,-13.5,0.0,0.0
207,-13.4583333333,0.0,0.0
208,-13.4166666667,0.0,0.0
209,-13.375,0.0,0.0
210,-13.3333333333,0.0,0.0
211,-13.2916666667,0.0,0.0
212,-13.25,0.0,0.0
213,-13.2083333333,0.0,0.0
214,-13.1666666667,0.0,0.0
215,-13.125,0.0,0.0
216,-13.0833333333,0.0,0.0
217,-13.0416666667,0.0,0.0
218,-13.0,0.0,0.0
219,-12.9583333333,0.0,0.0
220,-12.9166666667,0.0,0.0
221,-12.875,0.0,0.0
222,-12.8333333333,0.0,0.0
223,-12.7916666667,0.0,0.0
224,-12.75,0.0,0.0
225,-12.7083333333,0.0,0.0
226,-12.6666666667,0.0,0.0
227,-12.625,0.0,0.0
228,-12.5833333333,0.0,0.0
229,-12.5416666667,0.0,0.0
230,-12.5,0.0,0.0
231,-12.4583333333,0.0,0.0
232,-12.4166666667,0.0,0.0
233,-12.375,0.0,0.0
234,-12.3333333333,0.0,0.0
235,-12.2916666667,0.0,0.0
236,-12.25,0.0,0.0
237,-12.2083333333,0.0,0.0
238,-12.1666666667,0.0,0.0
239,-12.125,0.0,0.0
240,-12.0833333333,0.0,0.0
241,-12.0416666667,-1.11738288403,0.723686993122
242,-12.0,-1.11738491058,0.723686993122
243,-11.9583333333,-1.11738693714,0.723686993122
244,-11.9166666667,-1.1173889637,0.723686993122
245,-11.875,-1.11739087105,0.723686993122
246,-11.8333333333,-1.11739289761,0.723686993122
247,-11.7916666667,-1.11739492416,0.723686993122
248,-11.75,-1.11739683151,0.723686993122
249,-11.7083333333,-1.11739885807,0.723686993122
250,-11.6666666667,-1.11740088463,0.723686993122
251,-11.625,-1.11740291119,0.723686993122
252,-11.5833333333,-1.11740505695,0.723686993122
253,-11.5416666667,-1.11740708351,0.723686993122
254,-11.5,-1.11740887165,0.723686993122
255,-11.4583333333,-1.11741089821,0.723686993122
256,-11.4166666667,-1.11741280556,0.723686993122
257,-11.375,-1.11741495132,0.723686993122
258,-11.3333333333,-1.11741697788,0.723686993122
259,-11.2916666667,-0.989360570908,0.627245903015
260,-11.25,-0.98936265707,0.627245903015
261,-11.2083333333,-0.989364802837,0.627245903015
262,-11.1666666667,-0.989366829395,0.627245903015
263,-11.125,-0.989368796349,0.627245903015
264,-11.0833333333,-0.989370882511,0.627245903015
265,-11.0416666667,-0.989372968674,0.627245903015
266,-11.0,-0.989374935627,0.627245903015
267,-10.9583333333,-0.98937702179,0.627245903015
268,-10.9166666667,-0.989379107952,0.627245903015
269,-10.875,-0.98938113451,0.627245903015
270,-10.8333333333,-0.989383220673,0.627245903015
271,-10.7916666667,-0.979220449924,0.668329536915
272,-10.75,-0.979222536087,0.668329536915
273,-10.7083333333,-0.97922462225,0.668329536915
274,-10.6666666667,-0.979226827621,0.668329536915
275,-10.625,-0.979228854179,0.668329536915
276,-10.5833333333,-0.979230999947,0.668329536915
277,-10.5416666667,-0.979233026505,0.668329536915
278,-10.5,-0.979235291481,0.668329536915
279,-10.4583333333,-0.97923719883,0.668329536915
280,-10.4166666667,-0.979239463806,0.668329536915
281,-10.375,-0.720437169075,0.492260724306
282,-10.3333333333,-0.72043722868,0.492260724306
283,-10.2916666667,-0.720437169075,0.492260724306
284,-10.25,-0.720437169075,0.492260724306
285,-10.2083333333,-0.720437288284,0.492260724306
286,-10.1666666667,-0.720437347889,0.492260724306
287,-10.125,-0.720437407494,0.492260724306
288,-10.0833333333,-0.720437407494,0.492260724306
289,-10.0416666667,-0.720437347889,0.492260724306
290,-10.0,-0.720437526703,0.492260724306
291,-9.95833333333,-0.720437467098,0.492260724306
292,-9.91666666667,-0.720437526703,0.492260724306
293,-9.875,-0.720437526703,0.492260724306
294,-9.83333333333,-0.720437586308,0.492260724306
295,-9.79166666667,-0.634097754955,0.44474747777
296,-9.75,-0.634098231792,0.44474747777
297,-9.70833333333,-0.634098768234,0.44474747777
298,-9.66666666667,-0.634099304676,0.44474747777
299,-9.625,-0.634099841118,0.44474747777
300,-9.58333333333,-0.634100317955,0.44474747777
301,-9.54166666667,-0.634100794792,0.44474747777
302,-9.5,-0.634101331234,0.44474747777
303,-9.45833333333,-0.63410192728,0.44474747777
304,-9.41666666667,-0.634102344513,0.44474747777
305,-9.375,-0.634102880955,0.44474747777
306,-9.33333333333,-0.634103417397,0.44474747777
307,-9.29166666667,-0.634103894234,0.44474747777
308,-9.25,-0.634104430676,0.44474747777
309,-9.20833333333,-0.634104907513,0.44474747777
310,-9.16666666667,-0.634105443954,0.44474747777
311,-9.125,-0.634105980396,0.44474747777
312,-9.08333333333,-0.634106397629,0.44474747777
313,-9.04166666667,-0.634106993675,0.44474747777
314,-9.0,-0.634107470512,0.44474747777
315,-8.95833333333,-0.634108006954,0.44474747777
316,-8.91666666667,-0.634108543396,0.44474747777
317,-8.875,-0.634109079838,0.44474747777
318,-8.83333333333,-0.634109556675,0.44474747777
319,-8.79166666667,-0.581872820854,0.406732439995
320,-8.75,-0.581873774529,0.406732439995
321,-8.70833333333,-0.581874549389,0.406732439995
322,-8.66666666667,-0.581875324249,0.406732439995
323,-8.625,-0.581876218319,0.406732439995
324,-8.58333333333,-0.581877052784,0.406732439995
325,-8.54166666667,-0.581877946854,0.406732439995
326,-8.5,-0.581878721714,0.406732439995
327,-8.45833333333,-0.581879615784,0.406732439995
328,-8.41666666667,-0.581880331039,0.406732439995
329,-8.375,-0.581881284714,0.406732439995
330,-8.33333333333,-0.581882059574,0.406732439995
331,-8.29166666667,-0.581882953644,0.406732439995
332,-8.25,-0.581883728504,0.406732439995
333,-8.20833333333,-0.581884503365,0.406732439995
334,-8.16666666667,-0.581885397434,0.406732439995
335,-8.125,-0.588094174862,0.354352146387
336,-8.08333333333,-0.588095009327,0.354352146387
337,-8.04166666667,-0.571748375893,0.430266022682
338,-8.0,-0.571749508381,0.430266022682
339,-7.95833333333,-0.571750462055,0.430266022682
340,-7.91666666667,-0.571751475334,0.430266022682
341,-7.875,-0.497077941895,0.397817879915
342,-7.83333333333,-0.49707877636,0.397817879915
343,-7.79166666667,-0.44289162755,0.371818304062
344,-7.75,-0.442892640829,0.371818304062
345,-7.70833333333,-0.442893654108,0.371818304062
346,-7.66666666667,-0.442894697189,0.371818304062
347,-7.625,-0.442895799875,0.371818304062
348,-7.58333333333,-0.442896783352,0.371818304062
349,-7.54166666667,-0.442897826433,0.371818304062
350,-7.5,-0.442898899317,0.371818304062
351,-7.45833333333,-0.442899942398,0.371818304062
352,-7.41666666667,-0.442900925875,0.371818304062
353,-7.375,-0.442901998758,0.371818304062
354,-7.33333333333,-0.44290304184,0.371818304062
355,-7.29166666667,-0.442904144526,0.371818304062
356,-7.25,-0.442905128002,0.371818304062
357,-7.20833333333,-0.442906141281,0.371818304062
358,-7.16666666667,-0.442907214165,0.371818304062
359,-7.125,-0.31868159771,0.307862281799
360,-7.08333333333,-0.318681836128,0.307862281799
361,-7.04166666667,-0.318682014942,0.307862281799
362,-7.0,-0.318682253361,0.307862281799
363,-6.95833333333,-0.318682432175,0.307862281799
364,-6.91666666667,-0.318682610989,0.307862281799
365,-6.875,-0.318682819605,0.307862281799
366,-6.83333333333,-0.318683028221,0.307862281799
367,-6.79166666667,-0.318683236837,0.307862281799
368,-6.75,-0.318683415651,0.307862281799
369,-6.70833333333,-0.31868365407,0.307862281799
370,-6.66666666667,-0.318683803082,0.307862281799
371,-6.625,-0.324740499258,0.310293674469
372,-6.58333333333,-0.324740767479,0.310293674469
373,-6.54166666667,-0.299883633852,0.296053290367
374,-6.5,-0.299884110689,0.296053290367
375,-6.45833333333,-0.299884557724,0.296053290367
376,-6.41666666667,-0.299885004759,0.296053290367
377,-6.375,-0.299885541201,0.296053290367
378,-6.33333333333,-0.299886018038,0.296053290367
379,-6.29166666667,-0.299886405468,0.296053290367
380,-6.25,-0.299886912107,0.296053290367
381,-6.20833333333,-0.299887359142,0.296053290367
382,-6.16666666667,-0.299887776375,0.296053290367
383,-6.125,-0.299888283014,0.296053290367
384,-6.08333333333,-0.299888730049,0.296053290367
385,-6.04166666667,-0.293322712183,0.298483192921
386,-6.0,-0.293323248625,0.298483192921
387,-5.95833333333,-0.293323785067,0.298483192921
388,-5.91666666667,-0.293324291706,0.298483192921
389,-5.875,-0.293324828148,0.298483192921
390,-5.83333333333,-0.293325394392,0.298483192921
391,-5.79166666667,-0.293325901031,0.298483192921
392,-5.75,-0.293326407671,0.298483192921
393,-5.70833333333,-0.293327003717,0.298483192921
394,-5.66666666667,-0.293327480555,0.298483192921
395,-5.625,-0.236924856901,0.26568326354
396,-5.58333333333,-0.236925274134,0.26568326354
397,-5.54166666667,-0.236925691366,0.26568326354
398,-5.5,-0.236926063895,0.26568326354
399,-5.45833333333,-0.236926436424,0.26568326354
400,-5.41666666667,-0.236926838756,0.26568326354
401,-5.375,-0.236927211285,0.26568326354
402,-5.33333333333,-0.236927628517,0.26568326354
403,-5.29166666667,-0.244446799159,0.274138003588
404,-5.25,-0.244446977973,0.274138003588
405,-5.20833333333,-0.244447156787,0.274138003588
406,-5.16666666667,-0.244447395205,0.274138003588
407,-5.125,-0.244447603822,0.274138003588
408,-5.08333333333,-0.244447752833,0.274138003588
409,-5.04166666667,-0.24444796145,0.274138003588
410,-5.0,-0.244448184967,0.274138003588
411,-4.95833333333,-0.244448363781,0.274138003588
412,-4.91666666667,-0.244448557496,0.274138003588
413,-4.875,-0.244448766112,0.274138003588
414,-4.83333333333,-0.24444898963,0.274138003588
415,-4.79166666667,-0.244449183345,0.274138003588
416,-4.75,-0.244449362159,0.274138003588
417,-4.70833333333,-0.244449585676,0.274138003588
418,-4.66666666667,-0.24444976449,0.274138003588
419,-4.625,-0.206596404314,0.245497047901
420,-4.58333333333,-0.206596314907,0.245497047901
421,-4.54166666667,-0.206596255302,0.245497047901
422,-4.5,-0.206596150994,0.245497047901
423,-4.45833333333,-0.206596076488,0.245497047901
424,-4.41666666667,-0.206596016884,0.245497047901
425,-4.375,-0.206595927477,0.245497047901
426,-4.33333333333,-0.206595882773,0.245497047901
427,-4.29166666667,-0.206595793366,0.245497047901
428,-4.25,-0.206595703959,0.245497047901
429,-4.20833333333,-0.206595629454,0.245497047901
430,-4.16666666667,-0.20659558475,0.245497047901
431,-4.125,-0.206595495343,0.245497047901
432,-4.08333333333,-0.206595420837,0.245497047901
433,-4.04166666667,-0.174856930971,0.296136021614
434,-4.0,-0.174857199192,0.296136021614
435,-3.95833333333,-0.174857452512,0.296136021614
436,-3.91666666667,-0.17485769093,0.296136021614
437,-3.875,-0.191833809018,0.326044619083
438,-3.83333333333,-0.191834181547,0.326044619083
439,-3.79166666667,-0.191834554076,0.326044619083
440,-3.75,-0.191834956408,0.326044619083
441,-3.70833333333,-0.191835343838,0.326044619083
442,-3.66666666667,-0.191835686564,0.326044619083
443,-3.625,-0.130299165845,0.292813688517
444,-3.58333333333,-0.13029922545,0.292813688517
445,-3.54166666667,-0.104547142982,0.273960202932
446,-3.5,-0.10454723984,0.273960202932
447,-3.45833333333,-0.104547351599,0.273960202932
448,-3.41666666667,-0.104547470808,0.273960202932
449,-3.375,-0.104547582567,0.273960202932
450,-3.33333333333,-0.104547679424,0.273960202932
451,-3.29166666667,-0.104547798634,0.273960202932
452,-3.25,-0.104547902942,0.273960202932
453,-3.20833333333,-0.1045480147,0.273960202932
454,-3.16666666667,-0.10454813391,0.273960202932
455,-3.125,-0.104548245668,0.273960202932
456,-3.08333333333,-0.104548349977,0.273960202932
457,-3.04166666667,-0.104548454285,0.273960202932
458,-3.0,-0.104548543692,0.273960202932
459,-2.95833333333,-0.104548670352,0.273960202932
460,-2.91666666667,-0.10454878211,0.273960202932
461,-2.875,-0.104548886418,0.273960202932
462,-2.83333333333,-0.104548998177,0.273960202932
463,-2.79166666667,-0.104549109936,0.273960202932
464,-2.75,-0.104549229145,0.273960202932
465,-2.70833333333,-0.104549318552,0.273960202932
466,-2.66666666667,-0.104549445212,0.273960202932
467,-2.625,-0.10454954952,0.273960202932
468,-2.58333333333,-0.104549661279,0.273960202932
469,-2.54166666667,-0.104549773037,0.273960202932
470,-2.5,-0.104549892247,0.273960202932
471,-2.45833333333,-0.104549996555,0.273960202932
472,-2.41666666667,-0.104550108314,0.273960202932
473,-2.375,-0.121178604662,0.310293316841
474,-2.33333333333,-0.121178872883,0.310293316841
475,-2.29166666667,-0.121179148555,0.310293316841
476,-2.25,-0.121179416776,0.310293316841
477,-2.20833333333,-0.121179714799,0.310293316841
478,-2.16666666667,-0.121179968119,0.310293316841
479,-2.125,-0.12118024379,0.310293316841
480,-2.08333333333,-0.0561563037336,0.22216103971
481,-2.04166666667,-0.0561567023396,0.22216103971
482,-2.0,-0.0561571158469,0.22216103971
483,-1.95833333333,-0.0561575181782,0.22216103971
484,-1.91666666667,-0.0561579205096,0.22216103971
485,-1.875,-0.0583229064941,0.219789609313
486,-1.83333333333,-0.0583233349025,0.219789609313
487,-1.79166666667,-0.0583237744868,0.219789609313
488,-1.75,-0.0583242028952,0.219789609313
489,-1.70833333333,-0.05832464993,0.219789609313
490,-1.66666666667,-0.0583250783384,0.219789609313
491,-1.625,-0.0583255104721,0.219789609313
492,-1.58333333333,-0.0583259426057,0.219789609313
493,-1.54166666667,-0.0583263859153,0.219789609313
494,-1.5,-0.0583268068731,0.219789609313
495,-1.45833333333,-0.0583272464573,0.219789609313
496,-1.41666666667,-0.0583276823163,0.219789609313
497,-1.375,-0.0583281219006,0.219789609313
498,-1.33333333333,-0.0583285540342,0.219789609313
499,-1.29166666667,-0.0583289898932,0.219789609313
500,-1.25,-0.0583294220269,0.219789609313
501,-1.20833333333,-0.0583298429847,0.219789609313
502,-1.16666666667,-0.0583302937448,0.219789609313
503,-1.125,-0.0150556527078,0.209744900465
504,-1.08333333333,-0.0150556918234,0.209744900465
505,-1.04166666667,0.0123446295038,0.222735643387
506,-0.999999999999,0.0123444311321,0.222735643387
507,-0.958333333333,0.0123442355543,0.222735643387
508,-0.916666666666,0.0123440288007,0.222735643387
509,-0.874999999999,0.0123438369483,0.222735643387
510,-0.833333333333,0.0123436367139,0.222735643387
511,-0.791666666666,0.0123434411362,0.222735643387
512,-0.749999999999,0.0123432399705,0.222735643387
513,-0.708333333333,0.0123430397362,0.222735643387
514,-0.666666666666,0.0123428460211,0.222735643387
515,-0.624999999999,0.0123426485807,0.222735643387
516,-0.583333333333,0.012342450209,0.222735643387
517,-0.541666666666,0.0273091830313,0.21683460474
518,-0.499999999999,0.0273088924587,0.21683460474
519,-0.458333333333,0.0273085944355,0.21683460474
520,-0.416666666666,0.0273083020002,0.21683460474
521,-0.374999999999,0.0273080132902,0.21683460474
522,-0.333333333333,0.0273077134043,0.21683460474
523,-0.291666666666,0.0606612898409,0.211020931602
524,-0.249999999999,0.0606607981026,0.211020931602
525,-0.208333333333,0.060660302639,0.211020931602
526,-0.166666666666,0.0606598109007,0.211020931602
527,-0.124999999999,0.0606593042612,0.211020931602
528,-0.0833333333327,0.0606588050723,0.211020931602
529,-0.041666666666,0.0606583096087,0.211020931602
530,6.26609875098e-13,0.0606578178704,0.211020931602
531,0.0416666666673,0.0606573149562,0.211020931602
532,0.083333333334,0.0606568232179,0.211020931602
533,0.125000000001,0.0526161119342,0.151654109359
534,0.166666666667,0.0526155456901,0.151654109359
535,0.208333333334,0.0526149682701,0.151654109359
536,0.250000000001,0.0526143983006,0.151654109359
537,0.291666666667,0.0526138171554,0.151654109359
538,0.333333333334,0.0526132509112,0.151654109359
539,0.375000000001,0.0526126809418,0.151654109359
540,0.416666666667,0.0526121072471,0.151654109359
541,0.458333333334,0.0533697158098,0.144326895475
542,0.500000000001,0.053369153291,0.144326895475
543,0.541666666667,0.0533685870469,0.144326895475
