,phs,mu,std
0,-22.0833333333,2.7254691124,1.06853365898
1,-22.0416666667,2.85775566101,1.01759243011
2,-22.0,2.85775494576,1.01759243011
3,-21.9583333333,2.85775351524,1.01759243011
4,-21.9166666667,2.85775256157,1.01759243011
5,-21.875,3.88013482094,0.640123784542
6,-21.8333333333,3.88013410568,0.640123784542
7,-21.7916666667,3.88013362885,0.640123784542
8,-21.75,3.88013315201,0.640123784542
9,-21.7083333333,3.88013315201,0.640123784542
10,-21.6666666667,3.88013267517,0.640123784542
11,-21.625,4.17065954208,0.632690608501
12,-21.5833333333,4.17065954208,0.632690608501
13,-21.5416666667,4.17066001892,0.632690608501
14,-21.5,4.17065954208,0.632690608501
15,-21.4583333333,4.17065954208,0.632690608501
16,-21.4166666667,4.17066001892,0.632690608501
17,-21.375,4.17066001892,0.632690608501
18,-21.3333333333,4.17066049576,0.632690608501
19,-21.2916666667,4.17066001892,0.632690608501
20,-21.25,4.17066049576,0.632690608501
21,-21.2083333333,4.17066049576,0.632690608501
22,-21.1666666667,4.1706609726,0.632690608501
23,-21.125,4.17066144943,0.632690608501
24,-21.0833333333,4.1706609726,0.632690608501
25,-21.0416666667,1.21792209148,1.5326924324
26,-21.0,1.21792209148,1.5326924324
27,-20.9583333333,1.21792209148,1.5326924324
28,-20.9166666667,1.2179223299,1.5326924324
29,-20.875,1.21792221069,1.5326924324
30,-20.8333333333,1.2179223299,1.5326924324
31,-20.7916666667,1.2179223299,1.5326924324
32,-20.75,1.21792244911,1.5326924324
33,-20.7083333333,1.21792256832,1.5326924324
34,-20.6666666667,1.21792256832,1.5326924324
35,-20.625,1.20903909206,1.536901474
36,-20.5833333333,1.20903909206,1.536901474
37,-20.5416666667,1.20903921127,1.536901474
38,-20.5,1.20903885365,1.536901474
39,-20.4583333333,1.20903897285,1.536901474
40,-20.4166666667,1.20903909206,1.536901474
41,-20.375,1.20903921127,1.536901474
42,-20.3333333333,1.20903933048,1.536901474
43,-20.2916666667,1.20903921127,1.536901474
44,-20.25,1.20903921127,1.536901474
45,-20.2083333333,1.20903944969,1.536901474
46,-20.1666666667,1.20903933048,1.536901474
47,-20.125,1.20903944969,1.536901474
48,-20.0833333333,1.20903944969,1.536901474
49,-20.0416666667,1.21904087067,1.44555068016
50,-20.0,1.21904110909,1.44555068016
51,-19.9583333333,1.21904110909,1.44555068016
52,-19.9166666667,1.21904098988,1.44555068016
53,-19.875,1.21904110909,1.44555068016
54,-19.8333333333,1.21904110909,1.44555068016
55,-19.7916666667,1.21904122829,1.44555068016
56,-19.75,1.21904110909,1.44555068016
57,-19.7083333333,1.21904110909,1.44555068016
58,-19.6666666667,1.21904122829,1.44555068016
59,-19.625,1.21904110909,1.44555068016
60,-19.5833333333,1.21904110909,1.44555068016
61,-19.5416666667,1.21904122829,1.44555068016
62,-19.5,1.21904122829,1.44555068016
63,-19.4583333333,1.2190413475,1.44555068016
64,-19.4166666667,1.2190413475,1.44555068016
65,-19.375,1.2190413475,1.44555068016
66,-19.3333333333,1.21904122829,1.44555068016
67,-19.2916666667,1.21904146671,1.44555068016
68,-19.25,1.21904146671,1.44555068016
69,-19.2083333333,1.21904146671,1.44555068016
70,-19.1666666667,1.2190413475,1.44555068016
71,-19.125,1.21904146671,1.44555068016
72,-19.0833333333,1.2190413475,1.44555068016
73,-19.0416666667,1.07443833351,1.46214771271
74,-19.0,1.07443869114,1.46214771271
75,-18.9583333333,1.07443869114,1.46214771271
76,-18.9166666667,1.07443881035,1.46214771271
77,-18.875,1.0684363842,1.36453807354
78,-18.8333333333,1.06843650341,1.36453807354
79,-18.7916666667,1.06843662262,1.36453807354
80,-18.75,1.06843686104,1.36453807354
81,-18.7083333333,1.06843686104,1.36453807354
82,-18.6666666667,1.06843709946,1.36453807354
83,-18.625,1.06843721867,1.36453807354
84,-18.5833333333,1.06843733788,1.36453807354
85,-18.5416666667,1.06843757629,1.36453807354
86,-18.5,1.0684376955,1.36453807354
87,-18.4583333333,1.06843781471,1.36453807354
88,-18.4166666667,1.06843793392,1.36453807354
89,-18.375,1.06843817234,1.36453807354
90,-18.3333333333,1.06843817234,1.36453807354
91,-18.2916666667,1.06843841076,1.36453807354
92,-18.25,1.06843864918,1.36453807354
93,-18.2083333333,1.06843852997,1.36453807354
94,-18.1666666667,1.0684388876,1.36453807354
95,-18.125,1.06843912601,1.36453807354
96,-18.0833333333,1.06843912601,1.36453807354
97,-18.0416666667,1.08698928356,1.26840925217
98,-18.0,1.08698928356,1.26840925217
99,-17.9583333333,1.08698940277,1.26840925217
100,-17.9166666667,1.08698952198,1.26840925217
101,-17.875,1.08322370052,1.14289259911
102,-17.8333333333,1.08322370052,1.14289259911
103,-17.7916666667,1.08322393894,1.14289259911
104,-17.75,1.08322393894,1.14289259911
105,-17.7083333333,1.08322417736,1.14289259911
106,-17.6666666667,1.08322417736,1.14289259911
107,-17.625,1.08322417736,1.14289259911
108,-17.5833333333,1.08322429657,1.14289259911
109,-17.5416666667,1.08322453499,1.14289259911
110,-17.5,1.0832246542,1.14289259911
111,-17.4583333333,1.0832246542,1.14289259911
112,-17.4166666667,1.08322477341,1.14289259911
113,-17.375,1.08322477341,1.14289259911
114,-17.3333333333,1.08322489262,1.14289259911
115,-17.2916666667,1.08322525024,1.14289259911
116,-17.25,1.08322513103,1.14289259911
117,-17.2083333333,1.08322525024,1.14289259911
118,-17.1666666667,1.08322548866,1.14289259911
119,-17.125,1.08322560787,1.14289259911
120,-17.0833333333,1.08322560787,1.14289259911
